self [us] ; cumulative ; imported package
     2581 ;       2581 ;   _io
      852 ;        852 ;   marshal
     5020 ;       5020 ;   posix
     8304 ;      16755 ; _frozen_importlib_external
     1399 ;       1399 ;   time
     2942 ;       4341 ; zipimport
     2178 ;       2178 ;     _codecs
     7521 ;       9698 ;   codecs
     6913 ;       6913 ;   encodings.aliases
     8443 ;      25053 ; encodings
     3791 ;       3791 ; encodings.utf_8
     1609 ;       1609 ; _signal
      833 ;        833 ;     _abc
     5006 ;       5838 ;   abc
     4438 ;      10276 ; io
      954 ;        954 ;       _stat
     3952 ;       4905 ;     stat
    15925 ;      15925 ;     _collections_abc
     2780 ;       2780 ;       genericpath
     4521 ;       7301 ;     posixpath
    13404 ;      41534 ;   os
     3684 ;       3684 ;   _sitebuiltins
     9946 ;       9946 ;   _distutils_hack
     5065 ;       5065 ;   types
     4543 ;       4543 ;       warnings
     3772 ;       8315 ;     importlib
     3245 ;       3245 ;     importlib._abc
     2218 ;       2218 ;         itertools
     3107 ;       3107 ;         keyword
    13363 ;      13363 ;           _operator
     5203 ;      18566 ;         operator
     3605 ;       3605 ;         reprlib
     1603 ;       1603 ;         _collections
    14161 ;      43258 ;       collections
     2586 ;       2586 ;         _functools
     9981 ;      12566 ;       functools
     8911 ;      64734 ;     contextlib
     6321 ;      82612 ;   importlib.util
     3385 ;       3385 ;   importlib.machinery
     2851 ;       2851 ;     apport_python_hook
     3072 ;       5922 ;   sitecustomize
     1876 ;       1876 ;   usercustomize
    28798 ;     182817 ; site
     3366 ;       3366 ;           shepherd_core.data_models.base
     1495 ;       1495 ;             _struct
     3279 ;       4774 ;           struct
     1389 ;       1389 ;             math
     2729 ;       2729 ;             _datetime
    14835 ;      18953 ;           datetime
     3940 ;       3940 ;             collections.abc
    15130 ;      15130 ;               enum
     1246 ;       1246 ;                 _sre
     7531 ;       7531 ;                   sre_constants
     6134 ;      13664 ;                 sre_parse
     6364 ;      21273 ;               sre_compile
     1323 ;       1323 ;               _locale
     3699 ;       3699 ;               copyreg
    11721 ;      53143 ;             re
    32907 ;      89989 ;           typing
     6079 ;       6079 ;             numpy._globals
     3317 ;       3317 ;             numpy.__config__
     4231 ;       4231 ;                     _json
     9782 ;      14013 ;                   json.scanner
    10774 ;      24786 ;                 json.decoder
     9236 ;       9236 ;                 json.encoder
     4414 ;      38435 ;               json
     2888 ;      41323 ;             numpy._version
     2872 ;       2872 ;             numpy._distributor_init
     3025 ;       3025 ;               numpy.version
    27237 ;      27237 ;                   textwrap
    20117 ;      20117 ;                   numpy.core._multiarray_umath
     4580 ;       4580 ;                       numpy.compat._inspect
     3894 ;       3894 ;                           fnmatch
     2485 ;       2485 ;                             _winapi
     2106 ;       2106 ;                             nt
     2235 ;       2235 ;                             nt
     1961 ;       1961 ;                             nt
     2202 ;       2202 ;                             nt
     5748 ;      16735 ;                           ntpath
     1087 ;       1087 ;                           errno
     2826 ;       2826 ;                             urllib
    28895 ;      31721 ;                           urllib.parse
    12605 ;      66039 ;                         pathlib
     2283 ;       2283 ;                         pickle5
     7622 ;       7622 ;                           _compat_pickle
     1797 ;       1797 ;                           _pickle
     2177 ;       2177 ;                               org
      502 ;       2679 ;                             org.python
      618 ;       3296 ;                           org.python.core
    15358 ;      28072 ;                         pickle
     4614 ;     101006 ;                       numpy.compat.py3k
     4413 ;     109998 ;                     numpy.compat
      531 ;     110528 ;                   numpy.compat._inspect
     7421 ;     165302 ;                 numpy.core.overrides
    45833 ;     211135 ;               numpy.core.multiarray
     3830 ;       3830 ;               numpy.core.umath
     8016 ;       8016 ;                 numbers
     4061 ;       4061 ;                 numpy.core._string_helpers
     3561 ;       3561 ;                   numpy.core._dtype
     8273 ;      11834 ;                 numpy.core._type_aliases
     8011 ;      31921 ;               numpy.core.numerictypes
     5285 ;       5285 ;                       numpy.core._exceptions
     5169 ;      10453 ;                     numpy.core._methods
    63169 ;      73622 ;                   numpy.core.fromnumeric
    14024 ;      87646 ;                 numpy.core.shape_base
     4245 ;       4245 ;                 numpy.core._ufunc_config
    14636 ;      14636 ;                 numpy.core.arrayprint
     4682 ;       4682 ;                 numpy.core._asarray
