self [us] ; cumulative ; imported package
    13074 ;      13074 ;               numpy.lib.utils
    17285 ;      17285 ;               numpy.lib.arraysetops
     8552 ;       8552 ;                 weakref
     4565 ;       4565 ;                 numpy.lib.format
     4514 ;       4514 ;                 numpy.lib._datasource
     6391 ;       6391 ;                 numpy.lib._iotools
    18872 ;      42892 ;               numpy.lib.npyio
     3646 ;       3646 ;               numpy.lib.arrayterator
     5792 ;       5792 ;               numpy.lib.arraypad
     4976 ;       4976 ;               numpy.lib._version
    10212 ;     379763 ;             numpy.lib
     2896 ;       2896 ;                 numpy.fft._pocketfft_internal
    23723 ;      26619 ;               numpy.fft._pocketfft
     7168 ;       7168 ;               numpy.fft.helper
     4807 ;      38593 ;             numpy.fft
     4337 ;       4337 ;                 numpy.polynomial.polyutils
     7941 ;       7941 ;                 numpy.polynomial._polybase
     7920 ;      20197 ;               numpy.polynomial.polynomial
     7052 ;       7052 ;               numpy.polynomial.chebyshev
     6006 ;       6006 ;               numpy.polynomial.legendre
     7492 ;       7492 ;               numpy.polynomial.hermite
     6610 ;       6610 ;               numpy.polynomial.hermite_e
     6349 ;       6349 ;               numpy.polynomial.laguerre
     5379 ;      59083 ;             numpy.polynomial
     3419 ;       3419 ;                       backports_abc
     9155 ;      12573 ;                     numpy.random._common
     1396 ;       1396 ;                         binascii
     5366 ;       6761 ;                       base64
    22687 ;      22687 ;                         _hashlib
     1463 ;       1463 ;                           _blake2
     5579 ;       7042 ;                         hashlib
     5764 ;      35492 ;                       hmac
      857 ;        857 ;                           _bisect
     3651 ;       4508 ;                         bisect
      879 ;        879 ;                         _random
     1047 ;       1047 ;                         _sha512
    19787 ;      26220 ;                       random
     4818 ;      73291 ;                     secrets
     8643 ;      94505 ;                   numpy.random.bit_generator
     4375 ;       4375 ;                   numpy.random._bounded_integers
     3977 ;       3977 ;                   numpy.random._mt19937
    15872 ;     118727 ;                 numpy.random.mtrand
     4301 ;       4301 ;                 numpy.random._philox
     4550 ;       4550 ;                 numpy.random._pcg64
     4246 ;       4246 ;                 numpy.random._sfc64
     9417 ;       9417 ;                 numpy.random._generator
     5708 ;     146948 ;               numpy.random._pickle
     4756 ;     151703 ;             numpy.random
    11908 ;      11908 ;             numpy.ctypeslib
     3239 ;       3239 ;                       _opcode
     5897 ;       9136 ;                     opcode
     9840 ;      18975 ;                   dis
     4028 ;       4028 ;                       token
    17334 ;      21361 ;                     tokenize
     3904 ;      25264 ;                   linecache
    28457 ;      72695 ;                 inspect
    45788 ;     118482 ;               numpy.ma.core
    20372 ;      20372 ;               numpy.ma.extras
     5355 ;     144208 ;             numpy.ma
    33209 ;    1631905 ;           numpy
     4485 ;       4485 ;             numpy.typing._nbit
    25569 ;      25569 ;             numpy.typing._char_codes
     8812 ;       8812 ;             numpy.typing._scalars
     4287 ;       4287 ;             numpy.typing._shape
    45171 ;      45171 ;             numpy.typing._dtype_like
     3604 ;       3604 ;               __future__
   100526 ;     104130 ;             numpy.typing._array_like
     5165 ;       5165 ;             numpy.typing._generic_alias
    11143 ;      11143 ;             numpy.typing._add_docstring
     9049 ;     217807 ;           numpy.typing
    12762 ;      12762 ;               pydantic_core._pydantic_core
    10953 ;      10953 ;                   _decimal
     3869 ;      14822 ;                 decimal
    29461 ;      29461 ;                 typing_extensions
   315767 ;     360048 ;               pydantic_core.core_schema
    29571 ;     402380 ;             pydantic_core
     2476 ;       2476 ;                       org
      534 ;       3010 ;                     org.python
      465 ;       3474 ;                   org.python.core
     4404 ;       7877 ;                 copy
    11034 ;      18911 ;               dataclasses
     3069 ;       3069 ;               pydantic._internal
    22062 ;      22062 ;                       ipaddress
     6799 ;      28861 ;                     pydantic._internal._validators
     3315 ;       3315 ;                     pydantic.version
     5193 ;      37368 ;                   pydantic._migration
     6182 ;       6182 ;                   pydantic.errors
    18006 ;      61555 ;                 pydantic.config
     3640 ;       3640 ;                 pydantic.warnings
     6481 ;      71674 ;               pydantic._internal._config
   120672 ;     120672 ;                   annotated_types
     4417 ;       4417 ;                       _uuid
     8670 ;      13087 ;                     uuid
     5535 ;       5535 ;                       pydantic._internal._typing_extra
     3789 ;       3789 ;                       pydantic._internal._repr
     5327 ;      14650 ;                     pydantic._internal._fields
