voltage_set_V;PMEG10010ELRX V1 [mA];PMEG10010ELRX V2 [mA];RB168MM-40TR v1 [mA];RB168MM-40TR v2 [mA];SMMSD701T1G V1 [mA];SMMSD701T1G V2 [mA];PMEG10010ELRX V3 [mA];RB168MM-40TR v3 [mA];SMMSD701T1G V3 [mA]
-1,1;-1,66E-06;-1,38E-06;-4,46E-06;-4,31E-06;-1,04E-06;-9,64E-07;-1,36E-06;-4,16E-06;-9,47E-07
-1;-1,63E-06;-1,35E-06;-4,36E-06;-4,22E-06;-1,02E-06;-9,52E-07;-1,33E-06;-4,08E-06;-9,36E-07
-0,9;-1,60E-06;-1,32E-06;-4,26E-06;-4,12E-06;-1,00E-06;-9,36E-07;-1,30E-06;-3,99E-06;-9,20E-07
-0,8;-1,56E-06;-1,29E-06;-4,16E-06;-4,02E-06;-9,81E-07;-9,17E-07;-1,27E-06;-3,89E-06;-9,88E-07
-0,7;-1,53E-06;-1,27E-06;-4,05E-06;-3,92E-06;-9,61E-07;-8,96E-07;-1,25E-06;-3,79E-06;-1,01E-06
-0,6;-1,49E-06;-1,24E-06;-3,94E-06;-3,81E-06;-9,43E-07;-8,81E-07;-1,22E-06;-3,69E-06;-8,46E-07
-0,5;-1,45E-06;-1,21E-06;-3,82E-06;-3,70E-06;-9,19E-07;-8,61E-07;-1,18E-06;-3,58E-06;-8,44E-07
-0,4;-1,41E-06;-1,17E-06;-3,70E-06;-3,57E-06;-8,90E-07;-8,36E-07;-1,14E-06;-3,46E-06;-7,86E-07
-0,3;-1,36E-06;-1,14E-06;-3,57E-06;-3,45E-06;-8,65E-07;-8,08E-07;-1,11E-06;-3,34E-06;-7,89E-07
-0,2;-1,31E-06;-1,09E-06;-3,43E-06;-3,31E-06;-8,38E-07;-7,81E-07;-1,07E-06;-3,21E-06;-7,69E-07
-0,1;-1,23E-06;-1,01E-06;-3,21E-06;-3,11E-06;-7,84E-07;-7,36E-07;-1,01E-06;-3,00E-06;-7,18E-07
