Time [s],SheepS0,Sheep1,Sheep2
0.000000000,1,1,1
0.064030850,1,0,1
0.064031176,1,0,0
0.064031428,0,0,0
0.064044580,0,1,0
0.064044602,0,1,1
0.064044670,1,1,1
0.164029214,1,0,1
0.164029728,0,0,1
0.164030110,0,0,0
0.164042944,0,1,0
0.164043004,0,1,1
0.164043044,1,1,1
0.264027978,1,0,1
0.264028210,1,0,0
0.264028258,0,0,0
0.264041346,0,1,0
0.264041412,0,1,1
0.264041446,1,1,1
0.364025978,1,0,1
0.364026356,0,0,1
0.364026536,0,0,0
0.364039706,0,1,0
0.364039770,0,1,1
0.364039822,1,1,1
0.464024222,1,0,1
0.464024620,0,0,1
0.464025064,0,0,0
0.464038080,0,1,0
0.464038158,0,1,1
0.464038176,1,1,1
0.564022628,0,1,1
0.564022814,0,1,0
0.564023418,0,0,0
0.564036478,0,1,0
0.564036516,0,1,1
0.564036554,1,1,1
0.664021498,1,0,1
0.664021540,0,0,1
0.664021802,0,0,0
0.664034844,0,1,0
0.664034918,0,1,1
0.664034942,1,1,1
0.764019488,1,0,1
0.764020178,0,0,1
0.764020360,0,0,0
0.764033216,0,1,0
0.764033274,0,1,1
0.764033352,1,1,1
0.864017650,1,0,1
0.864018058,0,0,1
0.864018528,0,0,0
0.864031590,0,1,0
0.864031652,0,1,1
0.864031692,1,1,1
0.964016550,0,1,1
0.964016572,0,0,1
0.964017078,0,0,0
0.964029986,0,1,0
0.964030026,0,1,1
0.964030108,1,1,1
1.064014550,0,1,1
1.064014624,0,1,0
1.064015090,0,0,0
1.064028388,0,1,0
1.064028440,0,1,1
1.064028464,1,1,1
1.164012970,1,0,1
1.164013604,0,0,1
1.164013698,0,0,0
1.164026742,0,1,0
1.164026808,0,1,1
1.164026838,1,1,1
1.264011442,1,0,1
1.264012044,0,0,1
1.264012906,0,0,0
1.264025168,0,1,0
1.264025174,0,1,1
1.264025232,1,1,1
1.364009676,1,0,1
1.364010084,0,0,1
1.364010430,0,0,0
1.364023540,0,1,0
1.364023562,0,1,1
1.364023596,1,1,1
1.464007914,1,0,1
1.464008244,0,0,1
1.464008814,0,0,0
1.464021894,0,1,0
1.464021948,0,1,1
1.464022008,1,1,1
1.564006272,1,0,1
1.564006798,0,0,1
1.564007842,0,0,0
1.564020298,0,1,0
1.564020300,0,1,1
1.564020350,1,1,1
1.664004840,1,0,1
1.664005822,0,0,1
1.664006076,0,0,0
1.664018652,0,1,0
1.664018674,0,1,1
1.664018764,1,1,1
1.764003234,1,0,1
1.764003926,0,0,1
1.764004102,0,0,0
1.764017038,0,1,0
1.764017052,0,1,1
1.764017118,1,1,1
1.864001594,1,0,1
1.864001760,0,0,1
1.864002266,0,0,0
1.864015430,0,0,1
1.864015452,0,1,1
1.864015486,1,1,1
1.964000522,1,0,1
1.964000532,0,0,1
1.964000728,0,0,0
1.964013798,0,1,0
1.964013838,0,1,1
1.964013898,1,1,1
2.063998486,1,0,1
2.063998800,1,0,0
2.063999082,0,0,0
2.064012218,0,1,0
2.064012228,0,1,1
2.064012250,1,1,1
2.163997078,1,0,1
2.163997402,0,0,1
2.163998068,0,0,0
2.164010580,0,0,1
2.164010592,0,1,1
2.164010634,1,1,1
2.263995260,0,1,1
2.263995722,0,0,1
2.263995746,0,0,0
2.264008942,0,0,1
2.264008960,0,1,1
2.264009016,1,1,1
2.363993616,1,0,1
2.363993840,0,0,1
2.363994466,0,0,0
2.364007344,0,1,0
2.364007348,0,1,1
2.364007396,1,1,1
2.463991732,1,0,1
2.463992010,0,0,1
2.463992626,0,0,0
2.464005714,0,1,1
2.464005776,1,1,1
2.563990300,1,0,1
2.563990590,0,0,1
2.563990912,0,0,0
2.564004078,0,0,1
2.564004112,0,1,1
2.564004144,1,1,1
2.663988600,1,0,1
2.663989022,0,0,1
2.663990214,0,0,0
2.664002460,0,1,0
2.664002476,0,1,1
2.664002532,1,1,1
2.763987008,1,0,1
2.763987556,0,0,1
2.763988154,0,0,0
2.764000830,0,0,1
2.764000858,0,1,1
2.764000886,1,1,1
2.863985210,1,0,1
2.863985350,0,0,1
2.863987246,0,0,0
2.863999232,0,0,1
2.863999254,0,1,1
2.863999280,1,1,1
2.963984198,0,1,1
2.963984332,0,0,1
2.963985304,0,0,0
2.963997558,0,0,1
2.963997606,0,1,1
2.963997656,1,1,1
