Time [s],SheepS0,Sheep1,Sheep2
0.000000000,1,1,1
0.044579460,1,0,1
0.044579790,0,0,1
0.044580378,0,0,0
0.044593358,0,1,0
0.044593372,0,1,1
0.044593430,1,1,1
0.144577918,1,1,0
0.144578470,0,1,0
0.144578640,0,0,0
0.144591722,0,0,1
0.144591754,0,1,1
0.144591810,1,1,1
0.244576416,1,0,1
0.244576768,0,0,1
0.244577222,0,0,0
0.244590126,0,0,1
0.244590142,0,1,1
0.244590228,1,1,1
0.344575002,0,1,1
0.344575636,0,1,0
0.344575920,0,0,0
0.344588494,0,1,0
0.344588540,0,1,1
0.344588602,1,1,1
0.444573226,1,0,1
0.444573444,0,0,1
0.444574008,0,0,0
0.444586910,0,1,0
0.444586912,0,1,1
0.444586990,1,1,1
0.544571614,1,0,1
0.544572146,0,0,1
0.544572574,0,0,0
0.544585250,0,1,0
0.544585306,0,1,1
0.544585346,1,1,1
0.644569870,1,0,1
0.644570190,0,0,1
0.644570714,0,0,0
0.644583644,0,1,0
0.644583704,0,1,1
0.644583746,1,1,1
0.744568272,1,0,1
0.744568334,0,0,1
0.744569138,0,0,0
0.744582046,0,1,0
0.744582088,0,1,1
0.744582098,1,1,1
0.844566348,0,1,1
0.844566806,0,1,0
0.844566892,0,0,0
0.844580424,0,1,0
0.844580450,0,1,1
0.844580506,1,1,1
0.944564586,1,0,1
0.944565258,0,0,1
0.944565426,0,0,0
0.944578828,0,1,0
0.944578862,0,1,1
0.944578894,1,1,1
1.044562902,1,0,1
1.044563714,0,0,1
1.044564106,0,0,0
1.044577172,0,1,0
1.044577230,0,1,1
1.044577268,1,1,1
1.144561566,1,0,1
1.144562694,0,0,1
1.144563166,0,0,0
1.144575584,0,1,0
1.144575590,0,1,1
1.144575636,1,1,1
1.244560006,1,0,1
1.244560466,0,0,1
1.244561104,0,0,0
1.244573956,0,1,0
1.244574018,0,1,1
1.244574020,1,1,1
1.344558496,1,0,1
1.344558622,0,0,1
1.344559252,0,0,0
1.344572366,0,1,0
1.344572376,0,1,1
1.344572390,1,1,1
1.444556426,1,0,1
1.444557342,0,0,1
1.444557838,0,0,0
1.444570704,0,1,0
1.444570766,1,1,0
1.444570788,1,1,1
1.544555092,1,0,1
1.544555936,0,0,1
1.544556544,0,0,0
1.544569108,0,1,0
1.544569144,1,1,0
1.544569158,1,1,1
1.644553348,0,1,1
1.644553992,0,0,1
1.644554534,0,0,0
1.644567494,0,1,0
1.644567526,0,1,1
1.644567556,1,1,1
1.744551710,1,0,1
1.744552406,0,0,1
1.744552962,0,0,0
1.744565846,0,1,0
1.744565910,1,1,0
1.744565918,1,1,1
1.844549930,1,0,1
1.844550552,0,0,1
1.844550782,0,0,0
1.844564244,0,1,0
1.844564292,0,1,1
1.844564316,1,1,1
1.944548314,1,0,1
1.944549058,0,0,1
1.944549238,0,0,0
1.944562588,0,1,0
1.944562652,0,1,1
1.944562654,1,1,1
2.044546730,1,0,1
2.044547394,0,0,1
2.044547508,0,0,0
2.044560982,0,1,0
2.044561014,0,1,1
2.044561078,1,1,1
2.144545504,1,0,1
2.144546506,0,0,1
2.144547058,0,0,0
2.144559344,0,1,0
2.144559398,0,1,1
2.144559422,1,1,1
2.244543468,1,0,1
2.244544058,0,0,1
2.244544668,0,0,0
2.244557738,0,1,0
2.244557784,0,1,1
2.244557828,1,1,1
2.344542622,0,1,1
2.344543040,0,0,1
2.344543222,0,0,0
2.344556096,0,1,0
2.344556126,0,1,1
2.344556180,1,1,1
2.444541176,0,1,1
2.444541620,0,1,0
2.444541728,0,0,0
2.444554488,0,1,0
2.444554524,0,1,1
2.444554596,1,1,1
2.544538718,1,0,1
2.544539772,0,0,1
2.544540158,0,0,0
2.544552856,0,1,0
