RefDes;IC-Art#;Value;PartDecal;PartDecal_Descr;Orient.;X;Y;Seite;Class;PinCnt;DISTRIB_NAME;DISTRIB#;DISTRIB_NPPU;;
U2;;OPA2388;TSOP65P490X110-8N;VSSOP-N8. Body 3.00x3.00mm. Pitch 0.65mm;180;56;40.4;Oben;SMD;8;Mouser;595-OPA2388IDGKR;2.63;
U1;;DAC8562;PSON50P300X80_HS-11N;S-PWSON-N10. Body 3.00x3.00mm. Pitch 0.50mm. Thermal Pad 2.55x1.10mm;270;49.9;39.8;Oben;SMD;11;Mouser;595-DAC8562SDSCR;6.73;
T4;;BSH105;SOT95P230X110-3N;SOT23. 3-Leads. Body 2.90x2.30mm. Pitch 0.95mm;270;20.4;14.1;Oben;SMD;3;Mouser;771-BSH105215;0.21;
T3;;BSH105;SOT95P230X110-3N;SOT23. 3-Leads. Body 2.90x2.30mm. Pitch 0.95mm;270;23.5;18.7;Oben;SMD;3;Mouser;771-BSH105215;0.21;
T2;;BSH105;SOT95P230X110-3N;SOT23. 3-Leads. Body 2.90x2.30mm. Pitch 0.95mm;270;19.2;17.8;Oben;SMD;3;Mouser;771-BSH105215;0.21;
T1;;BSH105;SOT95P230X110-3N;SOT23. 3-Leads. Body 2.90x2.30mm. Pitch 0.95mm;90;23.6;26.5;Oben;SMD;3;Mouser;771-BSH105215;0.21;
R116;;R_0402_470R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;360;50.7;17.6;Oben;SMD;2;Mouser;667-ERJ-2GEJ471X;0.02;
R115;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;74.3;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R114;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;73.2;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R113;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;55.2;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
R112;;R_0402_33R;RESC1005X04;Chip Resistor. 2-Leads. Body 1.02x0.53mm;90;54.1;7.4;Oben;SMD;2;Mouser;667-ERJ-2GEJ330X;0.02;
