V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;1e-06;1,99909;1,14959e-06;1,81088;-9,9996e-07;0,7879469451261186
2,0;1e-06;1,99788;1,28716e-06;1,80695;-9,99966e-07;0,7026344424748396
2,0;1e-06;1,99778;1,66788e-06;1,80279;-9,99968e-07;0,54102680264755
2,0;1e-06;1,99745;2,0691e-06;1,80373;-9,99958e-07;0,4364112025298062
2,0;1e-06;1,99803;1,61815e-06;1,80666;-9,99968e-07;0,5587811527277768
2,0;1e-06;1,99928;1,53945e-06;1,81186;-9,99976e-07;0,5886742031899421
2,0;1e-06;1,99926;1,07692e-06;1,81249;-9,99972e-07;0,8418035234824205
2,0;2e-06;1,99836;2,0646e-06;1,80655;-2,00016e-06;0,8758002660699649
2,0;2e-06;1,99834;2,88769e-06;1,80747;-2,00015e-06;0,6264893804940633
2,0;2e-06;1,99829;2,64327e-06;1,80731;-2,00015e-06;0,6843766382595434
2,0;2e-06;1,99821;2,6263e-06;1,80669;-2,00014e-06;0,6885866114460603
2,0;2e-06;1,99874;2,85363e-06;1,80804;-2,00012e-06;0,6340304573649883
2,0;2e-06;1,99839;2,85738e-06;1,80781;-2,00011e-06;0,6332255314851962
2,0;2e-06;1,99868;2,44957e-06;1,8067;-2,00013e-06;0,7380931031066272
2,0;2e-06;1,99871;2,30805e-06;1,80639;-2,00015e-06;0,7832115596407997
2,0;2e-06;1,99847;2,83742e-06;1,80738;-2,00015e-06;0,6375155463454675
2,0;2e-06;1,99828;2,47975e-06;1,80747;-2,00015e-06;0,7295741260561005
2,0;3e-06;1,99839;3,35908e-06;1,80832;-3,00032e-06;0,8082435874912909
2,0;3e-06;1,99783;3,36992e-06;1,80581;-3,00036e-06;0,8047616996437146
2,0;3e-06;1,99844;3,37595e-06;1,80844;-3,00035e-06;0,8042459901702935
2,0;3e-06;1,9982;3,77193e-06;1,8062;-3,00036e-06;0,7190128065414364
2,0;3e-06;1,99808;3,46416e-06;1,80777;-3,00037e-06;0,7836229992497801
2,0;3e-06;1,99815;3,33257e-06;1,80736;-3,00038e-06;0,8143546122418613
2,0;3e-06;1,99781;3,46413e-06;1,80628;-3,00037e-06;0,7830897210069423
2,0;3e-06;1,99861;3,37229e-06;1,80893;-3,00038e-06;0,8052765500029602
2,0;3e-06;1,9981;4,13777e-06;1,80557;-3,00036e-06;0,6552456263907213
2,0;3e-06;1,99819;3,48053e-06;1,80833;-3,00037e-06;0,7801360355096735
2,0;4e-06;1,99824;4,66002e-06;1,80661;-4,00038e-06;0,776122418438824
2,0;4e-06;1,99824;4,56525e-06;1,80709;-4,00038e-06;0,7924444289354786
2,0;4e-06;1,99826;4,71274e-06;1,80765;-4,00038e-06;0,767874273218565
2,0;4e-06;1,99829;4,10183e-06;1,80658;-4,00039e-06;0,8817051120915154
