V_out_nom;V_inp_nom;V_inp;I_inp;V_out;I_out;eta
4,0;0,3;0,299018;7,99931e-05;4,00062;-3,99289e-06;0,6679985991745748
4,0;0,3;0,298966;9,99917e-05;4,00059;-5,17054e-06;0,6921855689009824
4,0;0,3;0,299185;0,000199985;4,00061;-1,09732e-05;0,7336910296166712
4,0;0,3;0,299134;0,000299999;4,00059;-1,68541e-05;0,7514332341239952
4,0;0,3;0,299131;0,000399998;4,00059;-2,2763e-05;0,7610869944892663
4,0;0,3;0,299109;0,00050001;4,00058;-2,86219e-05;0,7655809235407437
4,0;0,3;0,29264;0,000600005;4,0006;-3,39344e-05;0,7731731213156602
4,0;0,3;0,287955;0,000799995;4,0006;-4,49664e-05;0,781063240158753
4,0;0,3;0,288521;0,000999962;4,00058;-5,64284e-05;0,7823407388190269
4,0;0,3;0,281935;0,00199907;4,0006;-0,000110657;0,7856661650822774
4,0;0,3;0,284194;0,00299927;4,00062;-0,000168763;0,7920212560300383
4,0;0,3;0,272678;0,00399948;4,00061;-0,000214903;0,7887295326274371
4,0;0,3;0,278211;0,00499946;4,0006;-0,00027634;0,7949363801411199
4,0;0,3;0,280919;0,0059994;4,00061;-0,000335826;0,7970106338683446
4,0;0,3;0,285384;0,00799951;4,00061;-0,000456862;0,8004930052175065
4,0;0,3;0,287922;0,00999935;4,00061;-0,000577964;0,8028915393753028
4,0;0,3;0,300233;0,0199969;4,00058;-0,00119417;0,7957196035131914
4,0;0,3;0,308287;0,0299985;4,00059;-0,00172754;0,7472690049910163
4,0;0,3;0,329154;0,0399982;4,00059;-0,00249101;0,7570321935094256
4,0;0,3;0,332984;0,0499996;4,00065;-0,003042345;0,7310279000577339
2,0;0,35;0,349931;9,99971e-06;2,00074;-3,62525e-07;0,2072102287866354
2,0;0,35;0,349263;1,99911e-05;2,00073;-2,12622e-06;0,6090503930897508
2,0;0,35;0,349236;2,99916e-05;2,00072;-3,47826e-06;0,6643738199345056
2,0;0,35;0,349177;3,99921e-05;2,00072;-4,83668e-06;0,6928832046565024
2,0;0,35;0,348943;4,99924e-05;2,00073;-6,25773e-06;0,7176938362163724
2,0;0,35;0,349008;5,99933e-05;2,00073;-7,61641e-06;0,7273889120198495
2,0;0,35;0,349176;7,9993e-05;2,00074;-1,04e-05;0,7450438127091051
2,0;0,35;0,349159;9,99901e-05;2,00073;-1,31473e-05;0,7532930698459538
2,0;0,35;0,349305;0,000199984;2,00072;-2,69599e-05;0,7721512270403432
2,0;0,35;0,349367;0,000300002;2,00072;-4,0816e-05;0,7791288331400394
2,0;0,35;0,349382;0,000399998;2,00073;-5,46106e-05;0,7818186032147278
2,0;0,35;0,349375;0,000500011;2,00071;-6,84453e-05;0,7838969884560558
2,0;0,35;0,349299;0,000600006;2,00072;-8,22247e-05;0,7850018770367336
2,0;0,35;0,349487;0,000799995;2,00071;-0,000109922;0,7865763966583927
2,0;0,35;0,34995;0,000999963;2,0007;-0,00013782;0,7879874098784445
2,0;0,35;0,341981;0,00199913;2,00073;-0,000269727;0,7893350407516538
2,0;0,35;0,344041;0,00299929;2,00074;-0,000407906;0,790871505089399
2,0;0,35;0,345932;0,00399932;2,00076;-0,000547863;0,7922216318978215
2,0;0,35;0,347615;0,00499951;2,00075;-0,000688941;0,7931604701344819
2,0;0,35;0,349539;0,00599945;2,00072;-0,000832194;0,7941114641152633
2,0;0,35;0,343761;0,00799958;2,00071;-0,00109133;0,7939784101521591
2,0;0,35;0,347222;0,0099994;2,00072;-0,00138059;0,7955921186259606
2,0;0,35;0,352189;0,0199972;2,00073;-0,00272601;0,7743517630270741
2,0;0,35;0,362938;0,0299988;2,00073;-0,00381821;0,7016212810080444
2,0;0,35;0,377542;0,0399985;2,00073;-0,00528286;0,699903695961338
2,0;0,35;0,389176;0,0499997;2,00073;-0,00637305;0,6552690006120929
2,5;0,35;0,351075;9,9997e-06;2,50081;-2,45143e-07;0,1746643893333894
2,5;0,35;0,350494;1,99907e-05;2,50082;-1,59139e-06;0,5681169740558835
2,5;0,35;0,350398;2,9992e-05;2,50081;-2,71646e-06;0,6464232459374996
2,5;0,35;0,35039;3,99917e-05;2,50079;-3,87789e-06;0,6919199112973753
2,5;0,35;0,3504;4,99929e-05;2,50082;-4,98508e-06;0,7117634472016436
2,5;0,35;0,350174;5,99928e-05;2,50081;-6,15595e-06;0,7328583455456937
2,5;0,35;0,350175;7,99935e-05;2,50079;-8,4081e-06;0,7506431386091563
2,5;0,35;0,350444;9,99919e-05;2,50081;-1,07219e-05;0,76524627168556
2,5;0,35;0,350473;0,000199986;2,5008;-2,21507e-05;0,7903169408835087
2,5;0,35;0,350546;0,000299997;2,50081;-3,35492e-05;0,7979307572799526
2,5;0,35;0,350529;0,000399997;2,5008;-4,49194e-05;0,8012622899659616
2,5;0,35;0,350536;0,00050001;2,50079;-5,63235e-05;0,8036200688414994
2,5;0,35;0,350475;0,000600002;2,50079;-6,77167e-05;0,8053590761973501
2,5;0,35;0,34494;0,000799993;2,5008;-8,91776e-05;0,8079770221687657
2,5;0,35;0,339747;0,000999959;2,50078;-0,000109961;0,8092968119817237
2,5;0,35;0,344349;0,00199922;2,50082;-0,000223941;0,8135623464498636
2,5;0,35;0,346345;0,00299932;2,50081;-0,000338693;0,8154083519220181
2,5;0,35;0,338025;0,00399933;2,50081;-0,00044035;0,8146457949461927
2,5;0,35;0,340086;0,00499948;2,5008;-0,000554715;0,8157793576421962
2,5;0,35;0,34207;0,00599938;2,50083;-0,000670377;0,816970863574661
2,5;0,35;0,346027;0,00799945;2,5008;-0,000906358;0,8187305861863983
2,5;0,35;0,347972;0,00999912;2,50079;-0,00114156;0,820396590729264
2,5;0,35;0,351657;0,019997;2,50079;-0,00223562;0,795038268000211
