V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,35;0,05;0,389133;0,0499997;2,00073;-0,00637171;0,655207748363003
2,0;0,35;0,05;0,389085;0,0499995;2,00073;-0,00637299;0,655422840268728
2,0;0,35;0,05;0,389203;0,0499995;2,00073;-0,00637305;0,6552302955166508
2,0;0,35;0,05;0,389176;0,0499997;2,00073;-0,00637583;0,6555589704527188
2,0;0,35;0,05;0,389269;0,0499996;2,00073;-0,00637452;0,6552690006120929
2,0;0,35;0,05;0,389313;0,0500001;2,00073;-0,00637287;0,6550187994938063
2,0;0,35;0,05;0,389138;0,0500001;2,00073;-0,00637462;0,6554933193295989
2,0;0,35;0,04;0,377582;0,0399985;2,00075;-0,00528262;0,6998213848208592
2,0;0,35;0,04;0,377581;0,0399983;2,00074;-0,00528415;0,7000259288095391
2,0;0,35;0,04;0,377542;0,0399983;2,00074;-0,00528286;0,6999273289288445
2,0;0,35;0,04;0,377511;0,0399985;2,00073;-0,0052815;0,6997976063572492
2,0;0,35;0,04;0,377499;0,0399987;2,00073;-0,00528349;0,7000800340574816
2,0;0,35;0,04;0,377494;0,0399987;2,00072;-0,00528148;0,6998194737233001
2,0;0,35;0,04;0,377607;0,039999;2,00073;-0,00528371;0,699903695961338
2,0;0,35;0,03;0,362885;0,0299991;2,00074;-0,00381798;0,7016928664851828
2,0;0,35;0,03;0,362947;0,0299987;2,00072;-0,00381823;0,7016212810080444
2,0;0,35;0,03;0,362938;0,029999;2,00073;-0,00381821;0,7016314946383313
2,0;0,35;0,03;0,36294;0,0299989;2,00072;-0,00381741;0,7014794538719243
2,0;0,35;0,03;0,362876;0,0299988;2,00073;-0,0038174;0,7016071805693687
2,0;0,35;0,03;0,362889;0,0299987;2,00072;-0,00381898;0,7018712588300204
2,0;0,35;0,03;0,362988;0,0299987;2,00073;-0,00381848;0,7015914723049572
2,0;0,35;0,02;0,3523;0,019997;2,00072;-0,00272647;0,7743005132859057
2,0;0,35;0,02;0,352189;0,019997;2,00072;-0,00272585;0,774368419246146
2,0;0,35;0,02;0,352203;0,0199972;2,00074;-0,00272608;0,7744029708632141
2,0;0,35;0,02;0,352225;0,0199971;2,00073;-0,00272607;0,7743517630270741
2,0;0,35;0,02;0,352183;0,0199973;2,00072;-0,00272551;0,7742734060436752
2,0;0,35;0,02;0,352167;0,0199974;2,00073;-0,00272601;0,7744506300679935
2,0;0,35;0,02;0,352157;0,0199975;2,00073;-0,00272554;0,7743352202455708
2,0;0,35;0,01;0,347309;0,00999931;2,00071;-0,00138109;0,79564631067318
2,0;0,35;0,01;0,347301;0,00999937;2,00072;-0,00138073;0,7954564401411984
2,0;0,35;0,01;0,347287;0,0099994;2,00072;-0,00138059;0,7954054615306392
2,0;0,35;0,01;0,347222;0,00999936;2,00072;-0,00138065;0,7955921186259606
2,0;0,35;0,01;0,347155;0,00999948;2,00072;-0,00138045;0,7956208465822464
2,0;0,35;0,01;0,347166;0,00999942;2,00073;-0,00138005;0,7953738528600788
2,0;0,35;0,01;0,347085;0,00999941;2,00073;-0,00138015;0,7956179138412028
2,0;0,35;0,008;0,343809;0,00799965;2,00071;-0,00109153;0,7940202747967733
2,0;0,35;0,008;0,343778;0,00799961;2,00072;-0,00109142;0,7940197886967091
2,0;0,35;0,008;0,34377;0,00799962;2,0007;-0,00109135;0,7939784101521591
2,0;0,35;0,008;0,343761;0,00799958;2,00071;-0,0010912;0,793898004242836
2,0;0,35;0,008;0,343704;0,00799953;2,00071;-0,00109133;0,79412922479583
2,0;0,35;0,008;0,343707;0,00799954;2,00071;-0,001091;0,7938811715928425
2,0;0,35;0,008;0,343722;0,00799952;2,0007;-0,00109108;0,7939027540004556
2,0;0,35;0,006;0,349759;0,00599944;2,00071;-0,000833281;0,794503856007297
2,0;0,35;0,006;0,349686;0,00599945;2,00071;-0,000832902;0,7943069531578197
2,0;0,35;0,006;0,349664;0,0059994;2,00072;-0,0008327;0,7941748653069144
2,0;0,35;0,006;0,349539;0,00599944;2,00072;-0,000832194;0,7939708172710718
2,0;0,35;0,006;0,349434;0,00599947;2,00072;-0,000831627;0,7936643057464821
2,0;0,35;0,006;0,34923;0,00599951;2,00074;-0,000831607;0,7941114641152633
2,0;0,35;0,006;0,349217;0,00599946;2,00072;-0,00083147;0,7940088781259845
2,0;0,35;0,005;0,347734;0,00499948;2,00075;-0,000689192;0,7931604701344819
2,0;0,35;0,005;0,347686;0,00499953;2,00076;-0,000689172;0,7932429815841125
2,0;0,35;0,005;0,34765;0,00499952;2,00076;-0,000689028;0,7931609478692321
2,0;0,35;0,005;0,347559;0,00499947;2,00075;-0,000688941;0,7932724121672229
2,0;0,35;0,005;0,347615;0,00499954;2,00074;-0,00068889;0,7930708357962396
2,0;0,35;0,005;0,347458;0,00499951;2,00074;-0,000688599;0,7930987870959941
2,0;0,35;0,005;0,347508;0,00499944;2,00074;-0,000688719;0,7931339707194898
2,0;0,35;0,004;0,345958;0,00399924;2,00076;-0,000547836;0,7922180233755454
2,0;0,35;0,004;0,345927;0,00399932;2,00076;-0,000547712;0,7920938417928919
2,0;0,35;0,004;0,345916;0,00399928;2,00077;-0,000547863;0,7923492962492312
