Time [s],voltage
-0.202508662,4.980
-0.198508662,4.980
-0.194508662,4.980
-0.190508662,4.980
-0.186508662,4.980
-0.182508662,4.985
-0.178508662,4.980
-0.174508662,4.980
-0.170508662,4.985
-0.166508662,4.980
-0.162508662,4.980
-0.158508662,4.980
-0.154508662,4.980
-0.150508662,4.980
-0.146508662,4.980
-0.142508662,4.980
-0.138508662,4.980
-0.134508662,4.980
-0.130508662,4.980
-0.126508662,4.980
-0.122508662,4.980
-0.118508662,4.980
-0.114508662,4.980
-0.110508662,4.980
-0.106508662,4.980
-0.102508662,4.980
-0.098508662,4.980
-0.094508662,4.980
-0.090508662,4.980
-0.086508662,4.980
-0.082508662,4.980
-0.078508662,4.980
-0.074508662,4.980
-0.070508662,4.980
-0.066508662,4.980
-0.062508662,4.980
-0.058508662,4.980
-0.054508662,4.980
-0.050508662,4.980
-0.046508662,4.980
-0.042508662,4.980
-0.038508662,4.980
-0.034508662,4.980
-0.030508662,4.980
-0.026508662,4.980
-0.022508662,4.980
-0.018508662,4.980
-0.014508662,4.980
-0.010508662,4.980
-0.006508662,4.980
-0.002508662,4.980
0.001491338,4.980
0.005491338,4.980
0.009491338,4.980
0.013491338,4.980
0.017491338,4.980
0.021491338,4.980
0.025491338,4.980
0.029491338,4.980
0.033491338,4.980
0.037491338,4.980
0.041491338,4.980
0.045491338,4.980
0.049491338,4.980
0.053491338,4.980
0.057491338,4.980
0.061491338,4.975
0.065491338,4.980
0.069491338,4.975
0.073491338,4.975
0.077491338,4.975
0.081491338,4.975
0.085491338,4.975
0.089491338,4.975
0.093491338,4.970
0.097491338,4.970
0.101491338,4.975
0.105491338,4.970
0.109491338,4.970
0.113491338,4.970
0.117491338,4.970
0.121491338,4.970
0.125491338,4.970
0.129491338,4.970
0.133491338,4.970
0.137491338,4.970
0.141491338,4.964
0.145491338,4.970
0.149491338,4.964
0.153491338,4.964
0.157491338,4.964
0.161491338,4.964
0.165491338,4.964
0.169491338,4.964
0.173491338,4.964
0.177491338,4.964
0.181491338,4.964
0.185491338,4.959
0.189491338,4.959
0.193491338,4.959
0.197491338,4.959
0.201491338,4.959
0.205491338,4.959
0.209491338,4.959
0.213491338,4.959
0.217491338,4.959
0.221491338,4.959
0.225491338,4.959
0.229491338,4.959
0.233491338,4.954
0.237491338,4.959
0.241491338,4.954
0.245491338,4.954
0.249491338,4.954
0.253491338,4.954
0.257491338,4.954
0.261491338,4.954
0.265491338,4.954
0.269491338,4.954
0.273491338,4.954
0.277491338,4.954
0.281491338,4.954
0.285491338,4.949
0.289491338,4.949
0.293491338,4.949
0.297491338,4.949
0.301491338,4.949
0.305491338,4.949
0.309491338,4.949
0.313491338,4.949
0.317491338,4.949
0.321491338,4.949
0.325491338,4.944
0.329491338,4.949
0.333491338,4.944
0.337491338,4.944
0.341491338,4.944
0.345491338,4.944
0.349491338,4.944
0.353491338,4.944
0.357491338,4.944
0.361491338,4.944
0.365491338,4.939
0.369491338,4.939
0.373491338,4.939
0.377491338,4.939
0.381491338,4.939
0.385491338,4.939
0.389491338,4.939
0.393491338,4.939
0.397491338,4.939
0.401491338,4.939
0.405491338,4.939
0.409491338,4.939
0.413491338,4.939
0.417491338,4.934
0.421491338,4.934
0.425491338,4.939
0.429491338,4.934
0.433491338,4.934
0.437491338,4.934
0.441491338,4.934
0.445491338,4.934
0.449491338,4.934
0.453491338,4.934
0.457491338,4.934
0.461491338,4.934
0.465491338,4.934
0.469491338,4.928
0.473491338,4.934
0.477491338,4.928
0.481491338,4.928
0.485491338,4.928
0.489491338,4.928
0.493491338,4.928
0.497491338,4.928
0.501491338,4.928
0.505491338,4.928
0.509491338,4.928
0.513491338,4.928
0.517491338,4.923
0.521491338,4.928
0.525491338,4.923
0.529491338,4.923
0.533491338,4.923
0.537491338,4.923
0.541491338,4.923
0.545491338,4.923
0.549491338,4.923
0.553491338,4.923
0.557491338,4.918
0.561491338,4.923
0.565491338,4.923
0.569491338,4.923
0.573491338,4.918
0.577491338,4.923
0.581491338,4.918
0.585491338,4.918
0.589491338,4.918
0.593491338,4.918
0.597491338,4.918
0.601491338,4.918
0.605491338,4.918
0.609491338,4.918
0.613491338,4.918
0.617491338,4.913
0.621491338,4.913
0.625491338,4.913
0.629491338,4.913
0.633491338,4.913
