Time [s]; Voltage [V]; Current [A]
1731091448024230000; 0.02044521484375; 0.0019484944661458334
1731091448024240000; 5.11998046875; 0.0
1731091448024250000; 5.11998046875; 0.0
1731091448024260000; 5.11998046875; 0.0
1731091448024270000; 5.11998046875; 0.0
1731091448024280000; 5.11998046875; 0.0
1731091448024290000; 2.87772177734375; 0.0
1731091448024300000; 2.907255859375; 0.0
1731091448024310000; 2.9246324218749997; 0.0
1731091448024320000; 2.93713583984375; 0.0
1731091448024330000; 2.9471322265625; 0.0
1731091448024340000; 2.95557080078125; 0.0
1731091448024350000; 2.9628538085937497; 0.0
1731091448024360000; 2.96919130859375; 0.0
1731091448024370000; 2.9747647460937503; 0.0
1731091448024380000; 2.9796847656250005; 0.0
1731091448024390000; 2.98407705078125; 0.0
1731091448024400000; 2.98798564453125; 0.0
1731091448024410000; 2.9914940429687498; 0.0
1731091448024420000; 2.9946616210937504; 0.0
1731091448024430000; 2.99751669921875; 0.0
1731091448024440000; 3.00010625; 0.0
1731091448024450000; 3.0024618164062504; 0.0
1731091448024460000; 3.00462216796875; 0.0
1731091448024470000; 3.0066140625; 0.0
1731091448024480000; 3.0084458007812502; 0.0
1731091448024490000; 3.0101111328125; 0.0
1731091448024500000; 3.0116421875; 0.0
1731091448024510000; 3.0130283203125003; 0.0
1731091448024520000; 3.0142888671875; 0.0
1731091448024530000; 3.01543330078125; 0.0
1731091448024540000; 3.0164736328125; 0.0
1731091448024550000; 3.01742734375; 0.0
1731091448024560000; 3.01830625; 0.0
1731091448024570000; 3.01910732421875; 0.0
1731091448024580000; 3.01985712890625; 0.0
1731091448024590000; 3.02053701171875; 0.0
1731091448024600000; 3.02118603515625; 0.0
1731091448024610000; 3.0217849609375005; 0.0
1731091448024620000; 3.022356640625; 0.0
1731091448024630000; 3.0228897460937505; 0.0
1731091448024640000; 3.02338818359375; 0.0
1731091448024650000; 3.0238427734375; 0.0
1731091448024660000; 3.02426513671875; 0.0
1731091448024670000; 3.02463935546875; 0.0
1731091448024680000; 3.024981640625; 0.0
1731091448024690000; 3.0252931640625; 0.0
1731091448024700000; 3.0255683593750002; 0.0
1731091448024710000; 3.02582666015625; 0.0
1731091448024720000; 3.0260713867187503; 0.0
1731091448024730000; 3.02629990234375; 0.0
1731091448024740000; 3.026510546875; 0.0
1731091448024750000; 3.0267167968749997; 0.0
1731091448024760000; 3.02691240234375; 0.0
1731091448024770000; 3.02710263671875; 0.0
1731091448024780000; 3.02728369140625; 0.0
1731091448024790000; 3.0274542968750002; 0.0
1731091448024800000; 3.0276056640625; 0.0
1731091448024810000; 3.0277443359375003; 0.0
1731091448024820000; 3.0278727539062498; 0.0
1731091448024830000; 3.02799150390625; 0.0
1731091448024840000; 3.0280828125; 0.0
1731091448024850000; 3.02817080078125; 0.0
1731091448024860000; 3.028252734375; 0.0
1731091448024870000; 3.028329296875; 0.0
1731091448024880000; 3.0284015625; 0.0
1731091448024890000; 3.0284728515625; 0.0
1731091448024900000; 3.02854208984375; 0.0
1731091448024910000; 3.02861025390625; 0.0
1731091448024920000; 3.028681640625; 0.0
1731091448024930000; 3.02874375; 0.0
1731091448024940000; 3.0287998046875004; 0.0
1731091448024950000; 3.0288486328125; 0.0
1731091448024960000; 3.0288953125; 0.0
1731091448024970000; 3.0289314453125002; 0.0
1731091448024980000; 3.0289778320312504; 0.0
1731091448024990000; 3.0290148437499997; 0.0
1731091448025000000; 3.02904677734375; 0.0
1731091448025010000; 3.0290669921875004; 0.0
1731091448025020000; 3.0290875; 0.0
1731091448025030000; 3.0291097656250003; 0.0
1731091448025040000; 3.0291426757812503; 0.0
1731091448025050000; 3.0291708984375005; 0.0
1731091448025060000; 3.0292041015625; 0.0
1731091448025070000; 3.02923076171875; 0.0
1731091448025080000; 3.0292529296875; 0.0
1731091448025090000; 3.02926015625; 0.0
1731091448025100000; 3.0292726562500003; 0.0
1731091448025110000; 3.02927421875; 0.0
1731091448025120000; 3.02928662109375; 0.0
1731091448025130000; 3.02930546875; 0.0
1731091448025140000; 3.02931337890625; 0.0
1731091448025150000; 3.0293289062500004; 0.0
1731091448025160000; 3.0293408203125; 0.0
1731091448025170000; 3.0293484375000004; 0.0
1731091448025180000; 3.0293635742187504; 0.0
1731091448025190000; 3.0293826171875002; 0.0
1731091448025200000; 3.0294002929687505; 0.0
1731091448025210000; 3.0294153320312502; 0.0
1731091448025220000; 3.0294235351562504; 0.0
1731091448025230000; 3.02942490234375; 0.0
1731091448025240000; 3.02941552734375; 0.0
1731091448025250000; 3.02941142578125; 0.0
1731091448025260000; 3.02939638671875; 0.0
1731091448025270000; 3.02939453125; 0.0
1731091448025280000; 3.02939765625; 0.0
1731091448025290000; 3.0294109375; 0.0
1731091448025300000; 3.02941962890625; 0.0
1731091448025310000; 3.02943017578125; 0.0
1731091448025320000; 3.0294438476562497; 0.0
1731091448025330000; 3.02945625; 0.0
1731091448025340000; 3.0294693359375002; 0.0
1731091448025350000; 3.02949052734375; 0.0
1731091448025360000; 3.02950439453125; 0.0
1731091448025370000; 3.0295120117187504; 0.0
1731091448025380000; 3.02950498046875; 0.0
1731091448025390000; 3.0294753906250005; 0.0
1731091448025400000; 3.029451171875; 0.0
1731091448025410000; 3.02943017578125; 0.0
1731091448025420000; 3.02941220703125; 0.0
1731091448025430000; 3.0294197265625002; 0.0
1731091448025440000; 3.029426953125; 0.0
1731091448025450000; 3.02943125; 0.0
1731091448025460000; 3.0294448242187504; 0.0
1731091448025470000; 3.0294591796875; 0.0
1731091448025480000; 3.0294775390625; 0.0
1731091448025490000; 3.0294935546875; 0.0
1731091448025500000; 3.02952421875; 0.0
1731091448025510000; 3.02953916015625; 0.0
1731091448025520000; 3.02953916015625; 0.0
1731091448025530000; 3.0295169921875; 0.0
1731091448025540000; 3.02949033203125; 0.0
1731091448025550000; 3.02945322265625; 0.0
1731091448025560000; 3.02943095703125; 0.0
1731091448025570000; 3.0294126953125; 0.0
1731091448025580000; 3.0293970703125; 0.0
1731091448025590000; 3.0293810546874997; 0.0
1731091448025600000; 3.0293577148437496; 0.0
1731091448025610000; 3.0291886718749996; 0.0
1731091448025620000; 3.02839951171875; 0.0
1731091448025630000; 3.026881640625; 0.0
1731091448025640000; 3.0247873046875005; 0.0
1731091448025650000; 3.02241748046875; 0.0
1731091448025660000; 3.02022333984375; 0.0
1731091448025670000; 3.016396484375; 9.076029459635418e-05
1731091448025680000; 3.0054055664062505; 0.00035278116861979167
1731091448025690000; 2.9978296875; 0.000376190185546875
1731091448025700000; 2.9929040039062498; 0.00035361328125000003
1731091448025710000; 2.9889671875; 0.0003405029296875
1731091448025720000; 2.9853228515625; 0.00033680928548177085
1731091448025730000; 2.98178759765625; 0.00033916015625000005
1731091448025740000; 2.9782484375; 0.0003449879964192708
1731091448025750000; 2.9747302734375; 0.0003527475992838542
1731091448025760000; 2.9713102539062497; 0.000359796142578125
1731091448025770000; 2.9678367187499997; 0.00037240091959635414
