system time [s]; current [A]; voltage [V]
2024-10-24 11:48:52.010930; 0.0007865397135416667; 3.451640625
2024-10-24 11:48:52.010940; 0.0007958984375000001; 3.44625
2024-10-24 11:48:52.010950; 0.0008017985026041667; 3.44083984375
2024-10-24 11:48:52.010960; 0.0008113606770833334; 3.4353125
2024-10-24 11:48:52.010970; 0.0008231608072916668; 3.42978515625
2024-10-24 11:48:52.010980; 0.0008319091796875; 3.42419921875
2024-10-24 11:48:52.010990; 0.0008378092447916668; 3.4187890625
2024-10-24 11:48:52.011000; 0.0008463541666666667; 3.413203125
2024-10-24 11:48:52.011010; 0.0008536783854166668; 3.4078125
2024-10-24 11:48:52.011020; 0.0008628336588541667; 3.40236328125
2024-10-24 11:48:52.011030; 0.0008707682291666667; 3.3968359375
2024-10-24 11:48:52.011040; 0.0008795166015625; 3.3913671875
2024-10-24 11:48:52.011050; 0.0008870442708333334; 3.3859570312500002
2024-10-24 11:48:52.011060; 0.000894775390625; 3.3805468750000003
2024-10-24 11:48:52.011070; 0.0009049479166666667; 3.37501953125
2024-10-24 11:48:52.011080; 0.0009126790364583334; 3.36978515625
2024-10-24 11:48:52.011090; 0.0009171549479166667; 3.3643359375
2024-10-24 11:48:52.011100; 0.00092529296875; 3.3587890625
2024-10-24 11:48:52.011110; 0.0009340413411458334; 3.35328125
2024-10-24 11:48:52.011120; 0.0009413655598958334; 3.347734375
2024-10-24 11:48:52.011130; 0.0009493001302083334; 3.3423046875
2024-10-24 11:48:52.011140; 0.0009568277994791667; 3.33685546875
2024-10-24 11:48:52.011150; 0.0009637451171875001; 3.3313671875
2024-10-24 11:48:52.011160; 0.0009718831380208334; 3.3259375
2024-10-24 11:48:52.011170; 0.0009796142578125; 3.3204296875
2024-10-24 11:48:52.011180; 0.0009879557291666667; 3.31498046875
2024-10-24 11:48:52.011190; 0.0009940592447916668; 3.30970703125
2024-10-24 11:48:52.011200; 0.0010009765625000001; 3.30419921875
2024-10-24 11:48:52.011210; 0.0010072835286458334; 3.29865234375
2024-10-24 11:48:52.011220; 0.0010146077473958334; 3.2930859375
2024-10-24 11:48:52.011230; 0.0010217285156250001; 3.2876953125
2024-10-24 11:48:52.011240; 0.0010294596354166667; 3.2822265625
2024-10-24 11:48:52.011250; 0.001036376953125; 3.27677734375
2024-10-24 11:48:52.011260; 0.0010432942708333334; 3.27130859375
2024-10-24 11:48:52.011270; 0.0010504150390625; 3.2658593750000002
2024-10-24 11:48:52.011280; 0.0010567220052083335; 3.260390625
2024-10-24 11:48:52.011290; 0.0010642496744791667; 3.25498046875
2024-10-24 11:48:52.011300; 0.0010683186848958334; 3.249609375
2024-10-24 11:48:52.011310; 0.0010738118489583334; 3.2440234375
2024-10-24 11:48:52.011320; 0.0010801188151041668; 3.2384765625000003
2024-10-24 11:48:52.011330; 0.0010872395833333335; 3.232890625
2024-10-24 11:48:52.011340; 0.0010947672526041667; 3.22748046875
2024-10-24 11:48:52.011350; 0.0011016845703125; 3.2220703125
2024-10-24 11:48:52.011360; 0.0011090087890625; 3.21662109375
2024-10-24 11:48:52.011370; 0.0011138916015625; 3.21119140625
2024-10-24 11:48:52.011380; 0.0011199951171875; 3.2058007812500002
2024-10-24 11:48:52.011390; 0.001126708984375; 3.20025390625
2024-10-24 11:48:52.011400; 0.0011319986979166667; 3.194765625
2024-10-24 11:48:52.011410; 0.0011387125651041666; 3.18931640625
2024-10-24 11:48:52.011420; 0.0011433919270833334; 3.18388671875
2024-10-24 11:48:52.011430; 0.0011490885416666667; 3.17837890625
2024-10-24 11:48:52.011440; 0.0011555989583333333; 3.172890625
2024-10-24 11:48:52.011450; 0.001160888671875; 3.1675
2024-10-24 11:48:52.011460; 0.0011669921875; 3.16197265625
2024-10-24 11:48:52.011470; 0.0011728922526041668; 3.1564453125000003
2024-10-24 11:48:52.011480; 0.0011781819661458334; 3.1510742187500003
2024-10-24 11:48:52.011490; 0.0011846923828125; 3.1456835937500003
2024-10-24 11:48:52.011500; 0.0011912027994791668; 3.140078125
2024-10-24 11:48:52.011510; 0.0011958821614583334; 3.13474609375
2024-10-24 11:48:52.011520; 0.0012013753255208333; 3.12921875
2024-10-24 11:48:52.011530; 0.0012078857421875002; 3.1237304687500003
2024-10-24 11:48:52.011540; 0.0012127685546875; 3.118125
2024-10-24 11:48:52.011550; 0.0012168375651041667; 3.112578125
2024-10-24 11:48:52.011560; 0.0012225341796875; 3.1071093750000003
2024-10-24 11:48:52.011570; 0.0012284342447916668; 3.1017382812500003
2024-10-24 11:48:52.011580; 0.0012331136067708333; 3.0962890625
2024-10-24 11:48:52.011590; 0.00123779296875; 3.0909960937500003
2024-10-24 11:48:52.011600; 0.0012420654296875; 3.08544921875
2024-10-24 11:48:52.011610; 0.0012461344401041667; 3.07986328125
2024-10-24 11:48:52.011620; 0.0012522379557291668; 3.0744531250000002
2024-10-24 11:48:52.011630; 0.001258544921875; 3.0690234375000003
2024-10-24 11:48:52.011640; 0.0012632242838541668; 3.06359375
2024-10-24 11:48:52.011650; 0.0012685139973958334; 3.058203125
2024-10-24 11:48:52.011660; 0.0012736002604166667; 3.05255859375
2024-10-24 11:48:52.011670; 0.0012790934244791667; 3.0469921875
2024-10-24 11:48:52.011680; 0.0012837727864583334; 3.04162109375
2024-10-24 11:48:52.011690; 0.0012886555989583333; 3.03607421875
2024-10-24 11:48:52.011700; 0.0012935384114583334; 3.03056640625
2024-10-24 11:48:52.011710; 0.0012969970703125; 3.02517578125
2024-10-24 11:48:52.011720; 0.0013018798828125001; 3.0197460937500002
2024-10-24 11:48:52.011730; 0.0013051350911458335; 3.01427734375
2024-10-24 11:48:52.011740; 0.00131103515625; 3.00876953125
2024-10-24 11:48:52.011750; 0.0013149007161458333; 3.0031640625000002
2024-10-24 11:48:52.011760; 0.0013197835286458334; 2.99771484375
2024-10-24 11:48:52.011770; 0.0013244628906250002; 2.9923046875
2024-10-24 11:48:52.011780; 0.001328125; 2.98669921875
2024-10-24 11:48:52.011790; 0.0013313802083333335; 2.981328125
2024-10-24 11:48:52.011800; 0.0013358561197916667; 2.97587890625
2024-10-24 11:48:52.011810; 0.0013409423828125001; 2.9702734375
2024-10-24 11:48:52.011820; 0.0013452148437500002; 2.9648828125
2024-10-24 11:48:52.011830; 0.001348876953125; 2.95951171875
2024-10-24 11:48:52.011840; 0.0013539632161458333; 2.953984375
2024-10-24 11:48:52.011850; 0.001358642578125; 2.94841796875
2024-10-24 11:48:52.011860; 0.0013608805338541667; 2.9429296875
2024-10-24 11:48:52.011870; 0.0013653564453125; 2.93732421875
2024-10-24 11:48:52.011880; 0.00136962890625; 2.93197265625
2024-10-24 11:48:52.011890; 0.001373291015625; 2.9265234375
2024-10-24 11:48:52.011900; 0.0013771565755208335; 2.92099609375
2024-10-24 11:48:52.011910; 0.0013810221354166668; 2.91556640625
2024-10-24 11:48:52.011920; 0.0013852945963541668; 2.910078125
2024-10-24 11:48:52.011930; 0.0013883463541666669; 2.9044921875000003
2024-10-24 11:48:52.011940; 0.0013924153645833335; 2.8991015625
2024-10-24 11:48:52.011950; 0.0013962809244791668; 2.89369140625
2024-10-24 11:48:52.011960; 0.0013995361328125; 2.8881640625
2024-10-24 11:48:52.011970; 0.0014036051432291669; 2.88279296875
2024-10-24 11:48:52.011980; 0.0014084879557291667; 2.8771875000000002
2024-10-24 11:48:52.011990; 0.0014111328125; 2.8716015625
2024-10-24 11:48:52.012000; 0.0014141845703125; 2.8662109375
2024-10-24 11:48:52.012010; 0.0014176432291666667; 2.8607421875
2024-10-24 11:48:52.012020; 0.0014206949869791667; 2.8551757812500003
2024-10-24 11:48:52.012030; 0.0014243570963541668; 2.84958984375
2024-10-24 11:48:52.012040; 0.0014278157552083334; 2.844296875
2024-10-24 11:48:52.012050; 0.0014306640625; 2.8388671875
2024-10-24 11:48:52.012060; 0.0014341227213541669; 2.8333203125
2024-10-24 11:48:52.012070; 0.0014377848307291668; 2.8278515625000002
2024-10-24 11:48:52.012080; 0.0014398193359375; 2.8225390625
2024-10-24 11:48:52.012090; 0.0014436848958333335; 2.81703125
2024-10-24 11:48:52.012100; 0.0014469401041666667; 2.8113671875
2024-10-24 11:48:52.012110; 0.0014503987630208335; 2.80572265625
2024-10-24 11:48:52.012120; 0.0014530436197916668; 2.8003125
2024-10-24 11:48:52.012130; 0.0014571126302083334; 2.7948828125
2024-10-24 11:48:52.012140; 0.0014593505859375; 2.78939453125
2024-10-24 11:48:52.012150; 0.0014619954427083333; 2.7839257812500002
2024-10-24 11:48:52.012160; 0.0014650472005208334; 2.7783984375
2024-10-24 11:48:52.012170; 0.0014670817057291668; 2.77275390625
2024-10-24 11:48:52.012180; 0.0014705403645833334; 2.76734375
2024-10-24 11:48:52.012190; 0.001473388671875; 2.7619531250000002
2024-10-24 11:48:52.012200; 0.0014768473307291668; 2.75642578125
2024-10-24 11:48:52.012210; 0.0014794921875000001; 2.7509765625
2024-10-24 11:48:52.012220; 0.0014823404947916668; 2.74560546875
2024-10-24 11:48:52.012230; 0.0014851888020833335; 2.74
2024-10-24 11:48:52.012240; 0.0014876302083333334; 2.73451171875
2024-10-24 11:48:52.012250; 0.0014908854166666668; 2.72912109375
2024-10-24 11:48:52.012260; 0.0014931233723958334; 2.7235546875
2024-10-24 11:48:52.012270; 0.0014945475260416668; 2.7179296875
2024-10-24 11:48:52.012280; 0.0014984130859375; 2.7123828125
2024-10-24 11:48:52.012290; 0.0015008544921875; 2.70701171875
2024-10-24 11:48:52.012300; 0.0015030924479166668; 2.70150390625
2024-10-24 11:48:52.012310; 0.0015041097005208334; 2.6960351562500002
2024-10-24 11:48:52.012320; 0.0015061442057291668; 2.69044921875
2024-10-24 11:48:52.012330; 0.0015100097656250001; 2.685
2024-10-24 11:48:52.012340; 0.0015128580729166668; 2.67951171875
2024-10-24 11:48:52.012350; 0.0015144856770833335; 2.6740429687500002
2024-10-24 11:48:52.012360; 0.00151611328125; 2.6686328125
2024-10-24 11:48:52.012370; 0.0015195719401041668; 2.66314453125
2024-10-24 11:48:52.012380; 0.0015216064453125002; 2.6576171875
2024-10-24 11:48:52.012390; 0.0015234375; 2.6520703125000002
2024-10-24 11:48:52.012400; 0.0015244547526041667; 2.6465234375
2024-10-24 11:48:52.012410; 0.0015266927083333335; 2.64115234375
2024-10-24 11:48:52.012420; 0.0015297444661458335; 2.635625
2024-10-24 11:48:52.012430; 0.0015315755208333334; 2.6300781250000003
2024-10-24 11:48:52.012440; 0.0015329996744791667; 2.6247070312500003
2024-10-24 11:48:52.012450; 0.0015354410807291669; 2.61921875
2024-10-24 11:48:52.012460; 0.0015364583333333335; 2.61365234375
2024-10-24 11:48:52.012470; 0.0015382893880208335; 2.608203125
2024-10-24 11:48:52.012480; 0.0015397135416666667; 2.6027734375000002
2024-10-24 11:48:52.012490; 0.0015411376953125; 2.59724609375
2024-10-24 11:48:52.012500; 0.0015431722005208334; 2.5918359375
2024-10-24 11:48:52.012510; 0.0015447998046875001; 2.586328125
2024-10-24 11:48:52.012520; 0.0015474446614583335; 2.5807812500000002
2024-10-24 11:48:52.012530; 0.0015492757161458335; 2.57525390625
2024-10-24 11:48:52.012540; 0.0015494791666666667; 2.5696484375
2024-10-24 11:48:52.012550; 0.0015513102213541667; 2.56408203125
2024-10-24 11:48:52.012560; 0.0015533447265625002; 2.5586328125
2024-10-24 11:48:52.012570; 0.0015559895833333335; 2.55328125
2024-10-24 11:48:52.012580; 0.0015572102864583335; 2.5477734375
2024-10-24 11:48:52.012590; 0.0015574137369791668; 2.54228515625
2024-10-24 11:48:52.012600; 0.0015588378906250002; 2.53673828125
2024-10-24 11:48:52.012610; 0.0015604654947916669; 2.5312890625
2024-10-24 11:48:52.012620; 0.0015612792968750001; 2.52572265625
2024-10-24 11:48:52.012630; 0.0015631103515625002; 2.5202734375
2024-10-24 11:48:52.012640; 0.0015641276041666668; 2.514921875
2024-10-24 11:48:52.012650; 0.0015657552083333335; 2.509375
2024-10-24 11:48:52.012660; 0.0015663655598958334; 2.50380859375
2024-10-24 11:48:52.012670; 0.0015675862630208333; 2.4983203125
2024-10-24 11:48:52.012680; 0.0015690104166666667; 2.4928515625
2024-10-24 11:48:52.012690; 0.0015698242187500001; 2.48734375
2024-10-24 11:48:52.012700; 0.0015702311197916667; 2.481796875
2024-10-24 11:48:52.012710; 0.0015714518229166669; 2.4762890625000002
2024-10-24 11:48:52.012720; 0.0015726725260416668; 2.470859375
2024-10-24 11:48:52.012730; 0.0015740966796875002; 2.46533203125
2024-10-24 11:48:52.012740; 0.0015763346354166667; 2.4598046875
2024-10-24 11:48:52.012750; 0.0015765380859375001; 2.45412109375
2024-10-24 11:48:52.012760; 0.0015769449869791668; 2.44876953125
2024-10-24 11:48:52.012770; 0.001575927734375; 2.443359375
2024-10-24 11:48:52.012780; 0.0015771484375000002; 2.4379296875
2024-10-24 11:48:52.012790; 0.0015781656901041668; 2.4324609375
2024-10-24 11:48:52.012800; 0.0015799967447916667; 2.42703125
2024-10-24 11:48:52.012810; 0.0015808105468750001; 2.4215234375
2024-10-24 11:48:52.012820; 0.0015814208984375; 2.415859375
2024-10-24 11:48:52.012830; 0.0015828450520833333; 2.4103125
2024-10-24 11:48:52.012840; 0.0015824381510416668; 2.404765625
2024-10-24 11:48:52.012850; 0.0015822347005208335; 2.399296875
2024-10-24 11:48:52.012860; 0.0015834554036458334; 2.39388671875
2024-10-24 11:48:52.012870; 0.0015840657552083335; 2.38828125
2024-10-24 11:48:52.012880; 0.001583251953125; 2.3828515625
2024-10-24 11:48:52.012890; 0.0015846761067708334; 2.37751953125
2024-10-24 11:48:52.012900; 0.0015854899088541667; 2.37203125
2024-10-24 11:48:52.012910; 0.0015852864583333335; 2.3665234375
2024-10-24 11:48:52.012920; 0.001585693359375; 2.3609375
2024-10-24 11:48:52.012930; 0.0015861002604166668; 2.3554296875
2024-10-24 11:48:52.012940; 0.0015858968098958334; 2.3498437500000002
2024-10-24 11:48:52.012950; 0.0015875244140625; 2.34431640625
2024-10-24 11:48:52.012960; 0.0015875244140625; 2.338828125
2024-10-24 11:48:52.012970; 0.0015877278645833335; 2.3333203125
2024-10-24 11:48:52.012980; 0.0015895589192708335; 2.3278710937500002
2024-10-24 11:48:52.012990; 0.0015881347656250002; 2.3223046875
2024-10-24 11:48:52.013000; 0.0015889485677083334; 2.3168359375
2024-10-24 11:48:52.013010; 0.0015899658203125; 2.311328125
2024-10-24 11:48:52.013020; 0.0015897623697916667; 2.30578125
2024-10-24 11:48:52.013030; 0.0015887451171875; 2.30029296875
2024-10-24 11:48:52.013040; 0.0015903727213541668; 2.29478515625
2024-10-24 11:48:52.013050; 0.0015903727213541668; 2.289375
2024-10-24 11:48:52.013060; 0.0015911865234375; 2.28375
2024-10-24 11:48:52.013070; 0.0015905761718750001; 2.278359375
2024-10-24 11:48:52.013080; 0.0015905761718750001; 2.2728125
2024-10-24 11:48:52.013090; 0.0015903727213541668; 2.267265625
2024-10-24 11:48:52.013100; 0.0015913899739583334; 2.26189453125
2024-10-24 11:48:52.013110; 0.0015915934244791667; 2.25638671875
2024-10-24 11:48:52.013120; 0.0015926106770833334; 2.2506640625
2024-10-24 11:48:52.013130; 0.0015922037760416668; 2.2451953125
2024-10-24 11:48:52.013140; 0.0015917968750000001; 2.23978515625
2024-10-24 11:48:52.013150; 0.0015917968750000001; 2.2343359375
2024-10-24 11:48:52.013160; 0.0015928141276041667; 2.22876953125
2024-10-24 11:48:52.013170; 0.001593017578125; 2.22328125
2024-10-24 11:48:52.013180; 0.0015924072265625002; 2.21779296875
2024-10-24 11:48:52.013190; 0.0015936279296875002; 2.21216796875
2024-10-24 11:48:52.013200; 0.0015936279296875002; 2.2066015625
2024-10-24 11:48:52.013210; 0.0015932210286458335; 2.20125
2024-10-24 11:48:52.013220; 0.0015948486328125002; 2.19572265625
2024-10-24 11:48:52.013230; 0.00159423828125; 2.1902734375
2024-10-24 11:48:52.013240; 0.0015934244791666668; 2.1846484375
2024-10-24 11:48:52.013250; 0.0015948486328125002; 2.17912109375
2024-10-24 11:48:52.013260; 0.0015946451822916668; 2.17361328125
2024-10-24 11:48:52.013270; 0.0015950520833333335; 2.16814453125
2024-10-24 11:48:52.013280; 0.0015950520833333335; 2.16267578125
2024-10-24 11:48:52.013290; 0.0015960693359375001; 2.1571875
2024-10-24 11:48:52.013300; 0.0015964762369791669; 2.15169921875
2024-10-24 11:48:52.013310; 0.0015960693359375001; 2.146171875
2024-10-24 11:48:52.013320; 0.0015964762369791669; 2.1407421875
2024-10-24 11:48:52.013330; 0.0015964762369791669; 2.1351953125
2024-10-24 11:48:52.013340; 0.0015958658854166668; 2.1296875
2024-10-24 11:48:52.013350; 0.0015960693359375001; 2.124375
2024-10-24 11:48:52.013360; 0.0015958658854166668; 2.1187890625
2024-10-24 11:48:52.013370; 0.0015948486328125002; 2.11314453125
2024-10-24 11:48:52.013380; 0.001595458984375; 2.1076562500000002
2024-10-24 11:48:52.013390; 0.0015968831380208334; 2.10216796875
2024-10-24 11:48:52.013400; 0.0015972900390625; 2.096640625
2024-10-24 11:48:52.013410; 0.0015968831380208334; 2.09115234375
2024-10-24 11:48:52.013420; 0.0015983072916666667; 2.08572265625
2024-10-24 11:48:52.013430; 0.0015972900390625; 2.0801953125
2024-10-24 11:48:52.013440; 0.0015968831380208334; 2.07458984375
2024-10-24 11:48:52.013450; 0.0015970865885416667; 2.0691015625
2024-10-24 11:48:52.013460; 0.0015960693359375001; 2.06373046875
2024-10-24 11:48:52.013470; 0.0015974934895833335; 2.05822265625
2024-10-24 11:48:52.013480; 0.0015989176432291668; 2.05263671875
2024-10-24 11:48:52.013490; 0.0015991210937500002; 2.0471875
2024-10-24 11:48:52.013500; 0.0015993245442708335; 2.04169921875
2024-10-24 11:48:52.013510; 0.0015997314453125; 2.03623046875
2024-10-24 11:48:52.013520; 0.0016003417968750001; 2.030703125
2024-10-24 11:48:52.013530; 0.0016005452473958335; 2.025078125
2024-10-24 11:48:52.013540; 0.0015995279947916667; 2.01953125
2024-10-24 11:48:52.013550; 0.0015993245442708335; 2.0141015625
2024-10-24 11:48:52.013560; 0.0015993245442708335; 2.008671875
2024-10-24 11:48:52.013570; 0.0016003417968750001; 2.0030859375
2024-10-24 11:48:52.013580; 0.0016003417968750001; 1.99759765625
2024-10-24 11:48:52.013590; 0.0016011555989583334; 1.992109375
2024-10-24 11:48:52.013600; 0.0016009521484375; 1.9866601562500001
2024-10-24 11:48:52.013610; 0.0016005452473958335; 1.9812109375
2024-10-24 11:48:52.013620; 0.0016007486979166669; 1.9756640625000002
2024-10-24 11:48:52.013630; 0.0016019694010416669; 1.97013671875
2024-10-24 11:48:52.013640; 0.0016011555989583334; 1.96455078125
2024-10-24 11:48:52.013650; 0.0016021728515625; 1.9591796875
2024-10-24 11:48:52.013660; 0.0016017659505208335; 1.95359375
2024-10-24 11:48:52.013670; 0.001602783203125; 1.9481054687500001
2024-10-24 11:48:52.013680; 0.0016019694010416669; 1.9425390625
2024-10-24 11:48:52.013690; 0.0016017659505208335; 1.9369921875
2024-10-24 11:48:52.013700; 0.0016029866536458335; 1.9315039062500001
2024-10-24 11:48:52.013710; 0.0016029866536458335; 1.9259375
2024-10-24 11:48:52.013720; 0.0016038004557291667; 1.9205273437500001
2024-10-24 11:48:52.013730; 0.0016038004557291667; 1.9150390625
2024-10-24 11:48:52.013740; 0.00160400390625; 1.909609375
2024-10-24 11:48:52.013750; 0.0016033935546875002; 1.90412109375
2024-10-24 11:48:52.013760; 0.0016048177083333335; 1.89857421875
2024-10-24 11:48:52.013770; 0.0016044108072916668; 1.89306640625
2024-10-24 11:48:52.013780; 0.0016054280598958334; 1.8876171875
2024-10-24 11:48:52.013790; 0.0016050211588541667; 1.8822265625
2024-10-24 11:48:52.013800; 0.0016050211588541667; 1.87662109375
2024-10-24 11:48:52.013810; 0.00160400390625; 1.87103515625
2024-10-24 11:48:52.013820; 0.0016046142578125002; 1.8655664062500001
2024-10-24 11:48:52.013830; 0.0016058349609375001; 1.860078125
2024-10-24 11:48:52.013840; 0.001605224609375; 1.85453125
2024-10-24 11:48:52.013850; 0.0016064453125; 1.8490625
2024-10-24 11:48:52.013860; 0.0016070556640625001; 1.843515625
2024-10-24 11:48:52.013870; 0.0016068522135416667; 1.8379882812500001
2024-10-24 11:48:52.013880; 0.0016070556640625001; 1.832578125
2024-10-24 11:48:52.013890; 0.0016076660156250002; 1.8269921875000001
2024-10-24 11:48:52.013900; 0.0016072591145833335; 1.82150390625
2024-10-24 11:48:52.013910; 0.0016082763671875; 1.8159765625
2024-10-24 11:48:52.013920; 0.0016086832682291668; 1.81060546875
2024-10-24 11:48:52.013930; 0.0016090901692708333; 1.80509765625
2024-10-24 11:48:52.013940; 0.0016090901692708333; 1.79955078125
2024-10-24 11:48:52.013950; 0.0016101074218750002; 1.79400390625
2024-10-24 11:48:52.013960; 0.0016101074218750002; 1.78849609375
2024-10-24 11:48:52.013970; 0.0016103108723958335; 1.78302734375
2024-10-24 11:48:52.013980; 0.0016109212239583334; 1.77755859375
2024-10-24 11:48:52.013990; 0.0016105143229166667; 1.77203125
2024-10-24 11:48:52.014000; 0.0016107177734375; 1.7665625
2024-10-24 11:48:52.014010; 0.0016119384765625; 1.76099609375
2024-10-24 11:48:52.014020; 0.0016117350260416669; 1.7555859375
2024-10-24 11:48:52.014030; 0.0016109212239583334; 1.75005859375
2024-10-24 11:48:52.014040; 0.0016127522786458335; 1.74451171875
2024-10-24 11:48:52.014050; 0.0016127522786458335; 1.738984375
2024-10-24 11:48:52.014060; 0.0016121419270833334; 1.7335156250000001
2024-10-24 11:48:52.014070; 0.0016139729817708334; 1.728046875
2024-10-24 11:48:52.014080; 0.0016141764322916668; 1.7225195312500001
2024-10-24 11:48:52.014090; 0.0016143798828125002; 1.71703125
2024-10-24 11:48:52.014100; 0.0016147867838541667; 1.7115625
2024-10-24 11:48:52.014110; 0.0016141764322916668; 1.7059375
2024-10-24 11:48:52.014120; 0.0016145833333333335; 1.70044921875
2024-10-24 11:48:52.014130; 0.0016162109375; 1.6949218750000001
2024-10-24 11:48:52.014140; 0.0016168212890625001; 1.68943359375
2024-10-24 11:48:52.014150; 0.0016164143880208334; 1.6839257812500001
2024-10-24 11:48:52.014160; 0.0016172281901041669; 1.6783984375
2024-10-24 11:48:52.014170; 0.0016172281901041669; 1.67291015625
2024-10-24 11:48:52.014180; 0.0016180419921875; 1.6675
2024-10-24 11:48:52.014190; 0.0016188557942708333; 1.66193359375
2024-10-24 11:48:52.014200; 0.0016186523437500002; 1.65646484375
2024-10-24 11:48:52.014210; 0.0016188557942708333; 1.65103515625
2024-10-24 11:48:52.014220; 0.0016200764973958335; 1.645390625
2024-10-24 11:48:52.014230; 0.0016196695963541668; 1.6399804687500001
2024-10-24 11:48:52.014240; 0.0016194661458333334; 1.63451171875
2024-10-24 11:48:52.014250; 0.0016202799479166667; 1.6290039062500001
2024-10-24 11:48:52.014260; 0.0016204833984375; 1.62345703125
2024-10-24 11:48:52.014270; 0.0016212972005208335; 1.61796875
2024-10-24 11:48:52.014280; 0.0016223144531250001; 1.6124609375
2024-10-24 11:48:52.014290; 0.0016229248046875002; 1.60697265625
2024-10-24 11:48:52.014300; 0.0016229248046875002; 1.6014257812500001
2024-10-24 11:48:52.014310; 0.0016231282552083334; 1.5959375
2024-10-24 11:48:52.014320; 0.0016229248046875002; 1.59048828125
2024-10-24 11:48:52.014330; 0.0016241455078125002; 1.58498046875
2024-10-24 11:48:52.014340; 0.0016249593098958334; 1.57955078125
2024-10-24 11:48:52.014350; 0.0016259765625; 1.5740820312500001
2024-10-24 11:48:52.014360; 0.0016267903645833335; 1.56857421875
2024-10-24 11:48:52.014370; 0.0016269938151041669; 1.5630078125
2024-10-24 11:48:52.014380; 0.0016267903645833335; 1.5573828125
2024-10-24 11:48:52.014390; 0.0016282145182291668; 1.5518554687500001
2024-10-24 11:48:52.014400; 0.0016278076171875; 1.54646484375
2024-10-24 11:48:52.014410; 0.0016288248697916667; 1.54099609375
2024-10-24 11:48:52.014420; 0.0016290283203125; 1.53546875
2024-10-24 11:48:52.014430; 0.0016300455729166667; 1.529921875
2024-10-24 11:48:52.014440; 0.0016310628255208335; 1.52443359375
2024-10-24 11:48:52.014450; 0.0016306559244791668; 1.5187890625
2024-10-24 11:48:52.014460; 0.0016312662760416669; 1.51337890625
2024-10-24 11:48:52.014470; 0.0016324869791666669; 1.5078515625
2024-10-24 11:48:52.014480; 0.0016330973307291667; 1.50234375
2024-10-24 11:48:52.014490; 0.0016339111328125002; 1.49685546875
2024-10-24 11:48:52.014500; 0.0016341145833333333; 1.491484375
2024-10-24 11:48:52.014510; 0.0016351318359375002; 1.486015625
2024-10-24 11:48:52.014520; 0.0016343180338541667; 1.48044921875
2024-10-24 11:48:52.014530; 0.0016353352864583335; 1.47490234375
2024-10-24 11:48:52.014540; 0.0016367594401041669; 1.4693554687500001
2024-10-24 11:48:52.014550; 0.0016363525390625001; 1.46390625
2024-10-24 11:48:52.014560; 0.001636962890625; 1.45841796875
2024-10-24 11:48:52.014570; 0.0016383870442708334; 1.45279296875
2024-10-24 11:48:52.014580; 0.0016400146484375; 1.447265625
2024-10-24 11:48:52.014590; 0.0016394042968750002; 1.44181640625
2024-10-24 11:48:52.014600; 0.0016392008463541668; 1.43626953125
2024-10-24 11:48:52.014610; 0.0016400146484375; 1.43080078125
2024-10-24 11:48:52.014620; 0.0016408284505208335; 1.4253906250000001
2024-10-24 11:48:52.014630; 0.0016416422526041668; 1.4199609375
2024-10-24 11:48:52.014640; 0.0016424560546875; 1.41439453125
2024-10-24 11:48:52.014650; 0.0016432698567708335; 1.408828125
2024-10-24 11:48:52.014660; 0.0016438802083333333; 1.403359375
2024-10-24 11:48:52.014670; 0.0016451009114583335; 1.39779296875
2024-10-24 11:48:52.014680; 0.0016465250651041669; 1.39232421875
2024-10-24 11:48:52.014690; 0.0016465250651041669; 1.38685546875
2024-10-24 11:48:52.014700; 0.001646728515625; 1.38142578125
2024-10-24 11:48:52.014710; 0.001646728515625; 1.37587890625
2024-10-24 11:48:52.014720; 0.00164794921875; 1.37037109375
2024-10-24 11:48:52.014730; 0.0016493733723958333; 1.36482421875
2024-10-24 11:48:52.014740; 0.0016499837239583334; 1.359296875
2024-10-24 11:48:52.014750; 0.0016497802734375; 1.3538671875000001
2024-10-24 11:48:52.014760; 0.0016510009765625; 1.34833984375
2024-10-24 11:48:52.014770; 0.0016520182291666669; 1.34294921875
2024-10-24 11:48:52.014780; 0.0016538492838541667; 1.33740234375
2024-10-24 11:48:52.014790; 0.0016526285807291667; 1.3319140625
2024-10-24 11:48:52.014800; 0.0016536458333333334; 1.32638671875
2024-10-24 11:48:52.014810; 0.0016546630859375002; 1.32083984375
2024-10-24 11:48:52.014820; 0.0016548665364583335; 1.31525390625
