system time [s] = value * gain + (offset); current [A] = value * gain + offset; voltage [V] = value * gain + offset
2024-10-24 11:48:52.008100; 0; 262143
2024-10-24 11:48:52.008110; 0; 262143
2024-10-24 11:48:52.008120; 0; 262143
2024-10-24 11:48:52.008130; 0; 262143
2024-10-24 11:48:52.008140; 0; 262143
2024-10-24 11:48:52.008150; 0; 188643
2024-10-24 11:48:52.008160; 0; 190449
2024-10-24 11:48:52.008170; 0; 191373
2024-10-24 11:48:52.008180; 0; 192022
2024-10-24 11:48:52.008190; 0; 192483
2024-10-24 11:48:52.008200; 0; 192833
2024-10-24 11:48:52.008210; 0; 193148
2024-10-24 11:48:52.008220; 0; 193381
2024-10-24 11:48:52.008230; 0; 193585
2024-10-24 11:48:52.008240; 0; 193759
2024-10-24 11:48:52.008250; 0; 193915
2024-10-24 11:48:52.008260; 0; 194046
2024-10-24 11:48:52.008270; 0; 194149
2024-10-24 11:48:52.008280; 0; 194251
2024-10-24 11:48:52.008290; 0; 194337
2024-10-24 11:48:52.008300; 0; 194422
2024-10-24 11:48:52.008310; 0; 194486
2024-10-24 11:48:52.008320; 0; 194536
2024-10-24 11:48:52.008330; 0; 194568
2024-10-24 11:48:52.008340; 0; 194595
2024-10-24 11:48:52.008350; 0; 194626
2024-10-24 11:48:52.008360; 0; 194659
2024-10-24 11:48:52.008370; 0; 194689
2024-10-24 11:48:52.008380; 0; 194732
2024-10-24 11:48:52.008390; 0; 194779
2024-10-24 11:48:52.008400; 0; 194791
2024-10-24 11:48:52.008410; 0; 194781
2024-10-24 11:48:52.008420; 0; 194816
2024-10-24 11:48:52.008430; 0; 194804
2024-10-24 11:48:52.008440; 0; 194799
2024-10-24 11:48:52.008450; 0; 194816
2024-10-24 11:48:52.008460; 0; 194811
2024-10-24 11:48:52.008470; 0; 194823
2024-10-24 11:48:52.008480; 0; 194842
2024-10-24 11:48:52.008490; 0; 194843
2024-10-24 11:48:52.008500; 0; 194872
2024-10-24 11:48:52.008510; 0; 194882
2024-10-24 11:48:52.008520; 0; 194875
2024-10-24 11:48:52.008530; 0; 194860
2024-10-24 11:48:52.008540; 0; 194861
2024-10-24 11:48:52.008550; 0; 194860
2024-10-24 11:48:52.008560; 0; 194858
2024-10-24 11:48:52.008570; 0; 194861
2024-10-24 11:48:52.008580; 0; 194872
2024-10-24 11:48:52.008590; 0; 194872
2024-10-24 11:48:52.008600; 0; 194880
2024-10-24 11:48:52.008610; 0; 194891
2024-10-24 11:48:52.008620; 0; 194889
