system time [s] = value * gain + (offset); current [A] = value * gain + offset; voltage [V] = value * gain + offset
2024-10-24 11:50:06.008100; 0; 262143
2024-10-24 11:50:06.008110; 0; 262143
2024-10-24 11:50:06.008120; 0; 262143
2024-10-24 11:50:06.008130; 0; 262143
2024-10-24 11:50:06.008140; 0; 262143
2024-10-24 11:50:06.008150; 0; 192396
2024-10-24 11:50:06.008160; 0; 194363
2024-10-24 11:50:06.008170; 0; 195429
2024-10-24 11:50:06.008180; 0; 196171
2024-10-24 11:50:06.008190; 0; 196733
2024-10-24 11:50:06.008200; 0; 197172
2024-10-24 11:50:06.008210; 0; 197552
2024-10-24 11:50:06.008220; 0; 197892
2024-10-24 11:50:06.008230; 0; 198157
2024-10-24 11:50:06.008240; 0; 198413
2024-10-24 11:50:06.008250; 0; 198645
2024-10-24 11:50:06.008260; 0; 198809
2024-10-24 11:50:06.008270; 0; 198960
2024-10-24 11:50:06.008280; 0; 199112
2024-10-24 11:50:06.008290; 0; 199224
2024-10-24 11:50:06.008300; 0; 199318
2024-10-24 11:50:06.008310; 0; 199433
2024-10-24 11:50:06.008320; 0; 199501
2024-10-24 11:50:06.008330; 0; 199595
2024-10-24 11:50:06.008340; 0; 199686
2024-10-24 11:50:06.008350; 0; 199732
2024-10-24 11:50:06.008360; 0; 199781
2024-10-24 11:50:06.008370; 0; 199814
2024-10-24 11:50:06.008380; 0; 199855
2024-10-24 11:50:06.008390; 0; 199917
2024-10-24 11:50:06.008400; 0; 199938
2024-10-24 11:50:06.008410; 0; 199954
2024-10-24 11:50:06.008420; 0; 199988
2024-10-24 11:50:06.008430; 0; 200028
2024-10-24 11:50:06.008440; 0; 200048
2024-10-24 11:50:06.008450; 0; 200067
2024-10-24 11:50:06.008460; 0; 200069
2024-10-24 11:50:06.008470; 0; 200076
2024-10-24 11:50:06.008480; 0; 200122
2024-10-24 11:50:06.008490; 0; 200121
2024-10-24 11:50:06.008500; 0; 200121
2024-10-24 11:50:06.008510; 0; 200137
2024-10-24 11:50:06.008520; 0; 200156
2024-10-24 11:50:06.008530; 0; 200168
2024-10-24 11:50:06.008540; 0; 200187
2024-10-24 11:50:06.008550; 0; 200181
2024-10-24 11:50:06.008560; 0; 200171
2024-10-24 11:50:06.008570; 0; 200178
2024-10-24 11:50:06.008580; 0; 200191
2024-10-24 11:50:06.008590; 0; 200185
2024-10-24 11:50:06.008600; 0; 200203
2024-10-24 11:50:06.008610; 0; 200212
2024-10-24 11:50:06.008620; 0; 200213
2024-10-24 11:50:06.008630; 0; 200232
2024-10-24 11:50:06.008640; 0; 200220
2024-10-24 11:50:06.008650; 0; 200207
2024-10-24 11:50:06.008660; 0; 200205
2024-10-24 11:50:06.008670; 0; 200215
2024-10-24 11:50:06.008680; 0; 200210
2024-10-24 11:50:06.008690; 0; 200222
2024-10-24 11:50:06.008700; 0; 200225
2024-10-24 11:50:06.008710; 0; 200215
2024-10-24 11:50:06.008720; 0; 200234
2024-10-24 11:50:06.008730; 0; 200254
2024-10-24 11:50:06.008740; 0; 200251
2024-10-24 11:50:06.008750; 0; 200241
2024-10-24 11:50:06.008760; 0; 200232
2024-10-24 11:50:06.008770; 0; 200217
2024-10-24 11:50:06.008780; 0; 200226
2024-10-24 11:50:06.008790; 0; 200234
2024-10-24 11:50:06.008800; 0; 200218
2024-10-24 11:50:06.008810; 0; 200231
2024-10-24 11:50:06.008820; 0; 200234
2024-10-24 11:50:06.008830; 0; 200240
2024-10-24 11:50:06.008840; 0; 200254
2024-10-24 11:50:06.008850; 0; 200239
2024-10-24 11:50:06.008860; 0; 200222
2024-10-24 11:50:06.008870; 0; 200233
2024-10-24 11:50:06.008880; 0; 200230
2024-10-24 11:50:06.008890; 0; 200226
2024-10-24 11:50:06.008900; 0; 200220
2024-10-24 11:50:06.008910; 0; 200226
2024-10-24 11:50:06.008920; 0; 200226
2024-10-24 11:50:06.008930; 0; 200260
2024-10-24 11:50:06.008940; 0; 200237
2024-10-24 11:50:06.008950; 0; 200227
2024-10-24 11:50:06.008960; 0; 200225
2024-10-24 11:50:06.008970; 0; 200230
2024-10-24 11:50:06.008980; 0; 200221
2024-10-24 11:50:06.008990; 0; 200216
2024-10-24 11:50:06.009000; 0; 200232
2024-10-24 11:50:06.009010; 0; 200223
2024-10-24 11:50:06.009020; 0; 200258
2024-10-24 11:50:06.009030; 0; 200261
2024-10-24 11:50:06.009040; 0; 200243
2024-10-24 11:50:06.009050; 0; 200234
2024-10-24 11:50:06.009060; 0; 200214
2024-10-24 11:50:06.009070; 0; 200203
2024-10-24 11:50:06.009080; 0; 200219
2024-10-24 11:50:06.009090; 0; 200245
2024-10-24 11:50:06.009100; 0; 200232
2024-10-24 11:50:06.009110; 0; 200235
2024-10-24 11:50:06.009120; 0; 200259
2024-10-24 11:50:06.009130; 0; 200244
2024-10-24 11:50:06.009140; 0; 200244
2024-10-24 11:50:06.009150; 0; 200211
2024-10-24 11:50:06.009160; 0; 200189
2024-10-24 11:50:06.009170; 0; 200213
2024-10-24 11:50:06.009180; 0; 200211
2024-10-24 11:50:06.009190; 0; 200213
2024-10-24 11:50:06.009200; 0; 200229
2024-10-24 11:50:06.009210; 0; 200245
2024-10-24 11:50:06.009220; 0; 200251
2024-10-24 11:50:06.009230; 0; 200275
2024-10-24 11:50:06.009240; 0; 200275
2024-10-24 11:50:06.009250; 0; 200237
2024-10-24 11:50:06.009260; 0; 200248
2024-10-24 11:50:06.009270; 0; 200247
2024-10-24 11:50:06.009280; 0; 200227
2024-10-24 11:50:06.009290; 0; 200222
2024-10-24 11:50:06.009300; 0; 200221
2024-10-24 11:50:06.009310; 0; 200218
2024-10-24 11:50:06.009320; 0; 200231
2024-10-24 11:50:06.009330; 0; 200246
2024-10-24 11:50:06.009340; 0; 200232
2024-10-24 11:50:06.009350; 0; 200233
2024-10-24 11:50:06.009360; 0; 200219
2024-10-24 11:50:06.009370; 0; 200222
2024-10-24 11:50:06.009380; 0; 200229
2024-10-24 11:50:06.009390; 0; 200225
2024-10-24 11:50:06.009400; 0; 200222
2024-10-24 11:50:06.009410; 0; 200227
2024-10-24 11:50:06.009420; 0; 200249
2024-10-24 11:50:06.009430; 0; 200255
2024-10-24 11:50:06.009440; 0; 200242
2024-10-24 11:50:06.009450; 0; 200239
2024-10-24 11:50:06.009460; 0; 200209
2024-10-24 11:50:06.009470; 0; 200224
2024-10-24 11:50:06.009480; 0; 200219
2024-10-24 11:50:06.009490; 0; 200200
2024-10-24 11:50:06.009500; 0; 200216
2024-10-24 11:50:06.009510; 0; 200224
2024-10-24 11:50:06.009520; 0; 200230
2024-10-24 11:50:06.009530; 0; 200243
2024-10-24 11:50:06.009540; 0; 200231
2024-10-24 11:50:06.009550; 0; 200203
2024-10-24 11:50:06.009560; 0; 200231
2024-10-24 11:50:06.009570; 0; 200240
2024-10-24 11:50:06.009580; 0; 200218
2024-10-24 11:50:06.009590; 0; 200238
2024-10-24 11:50:06.009600; 0; 200232
2024-10-24 11:50:06.009610; 0; 200211
2024-10-24 11:50:06.009620; 0; 200244
2024-10-24 11:50:06.009630; 0; 200250
2024-10-24 11:50:06.009640; 0; 200226
2024-10-24 11:50:06.009650; 0; 200228
2024-10-24 11:50:06.009660; 0; 200239
2024-10-24 11:50:06.009670; 0; 200204
2024-10-24 11:50:06.009680; 0; 200228
2024-10-24 11:50:06.009690; 0; 200235
2024-10-24 11:50:06.009700; 0; 200224
2024-10-24 11:50:06.009710; 0; 200238
2024-10-24 11:50:06.009720; 0; 200257
2024-10-24 11:50:06.009730; 0; 200249
2024-10-24 11:50:06.009740; 0; 200237
2024-10-24 11:50:06.009750; 0; 200229
2024-10-24 11:50:06.009760; 0; 200214
