V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,55;0,05;0,555327;0,0500001;2,00073;-0,0100685;0,7254936178640897
2,0;0,55;0,05;0,555349;0,0500001;2,00073;-0,0100732;0,7258035263797626
2,0;0,55;0,05;0,555251;0,05;2,00073;-0,0100657;0,7253925868120903
2,0;0,55;0,05;0,555483;0,0500002;2,00074;-0,0100658;0,7250975506407021
2,0;0,55;0,05;0,555506;0,0500001;2,00074;-0,0100683;0,7252490613595349
2,0;0,55;0,05;0,555601;0,0500002;2,00074;-0,0100707;0,7252964527750349
2,0;0,55;0,05;0,55543;0,05;2,00074;-0,010064;0,7250399639918621
2,0;0,55;0,04;0,572224;0,0399988;2,00075;-0,00871106;0,7614664960874198
2,0;0,55;0,04;0,572243;0,0399986;2,00077;-0,0087127;0,7615959882498496
2,0;0,55;0,04;0,57221;0,0399987;2,00078;-0,00871112;0,7615036933834128
2,0;0,55;0,04;0,572204;0,0399982;2,00075;-0,00870907;0,7613305721393795
2,0;0,55;0,04;0,572167;0,0399984;2,00073;-0,00870799;0,7612739704513787
2,0;0,55;0,04;0,57213;0,0399983;2,00074;-0,00870909;0,7614250827882406
2,0;0,55;0,04;0,572072;0,0399986;2,00073;-0,00871075;0,7616379076370428
2,0;0,55;0,03;0,55993;0,0299986;2,00072;-0,00653419;0,7782934011128604
2,0;0,55;0,03;0,559932;0,0299986;2,00074;-0,00653423;0,7783031657289021
2,0;0,55;0,03;0,559929;0,0299986;2,00074;-0,00653349;0,7782191926173987
2,0;0,55;0,03;0,55989;0,0299986;2,00074;-0,0065337;0,7782984160043455
2,0;0,55;0,03;0,559862;0,0299987;2,00074;-0,00653354;0,7783156857576449
2,0;0,55;0,03;0,559855;0,0299989;2,00074;-0,00653341;0,7783047417028387
2,0;0,55;0,03;0,559812;0,0299988;2,00074;-0,00653335;0,7783599709249089
2,0;0,55;0,02;0,55035;0,0199968;2,00073;-0,00443768;0,8067611801262419
2,0;0,55;0,02;0,550355;0,0199968;2,00074;-0,00443868;0,8069396801810282
2,0;0,55;0,02;0,550364;0,019997;2,00073;-0,0044378;0,8067544043344915
2,0;0,55;0,02;0,55031;0,0199972;2,00073;-0,00443666;0,8066182382685727
2,0;0,55;0,02;0,550301;0,019997;2,00073;-0,00443702;0,8067049502201914
2,0;0,55;0,02;0,550256;0,0199968;2,00072;-0,00443689;0,8067513215682013
2,0;0,55;0,02;0,550294;0,0199971;2,00071;-0,00443716;0,8067285672278369
2,0;0,55;0,02;0,550289;0,0199973;2,00073;-0,00443712;0,8067286206967681
2,0;0,55;0,01;0,550802;0,00999933;2,00072;-0,00229753;0,8346052160465792
2,0;0,55;0,01;0,550768;0,00999936;2,00071;-0,00229747;0,8346282650927064
2,0;0,55;0,01;0,550749;0,00999936;2,00072;-0,00229728;0,8345922040940537
2,0;0,55;0,01;0,550689;0,00999931;2,00071;-0,00229761;0,8348030390523568
2,0;0,55;0,01;0,550758;0,00999938;2,00072;-0,00229742;0,83462775714685
2,0;0,55;0,01;0,550717;0,00999938;2,00072;-0,00229707;0,8345627331802961
2,0;0,55;0,01;0,550673;0,00999939;2,00072;-0,00229706;0,8346249484737391
2,0;0,55;0,01;0,550661;0,0099993;2,00072;-0,00229707;0,834654282488372
2,0;0,55;0,008;0,549147;0,00799946;2,00073;-0,00183182;0,8342995207254638
2,0;0,55;0,008;0,549158;0,00799954;2,00073;-0,00183159;0,8341697158530641
2,0;0,55;0,008;0,549081;0,00799952;2,00072;-0,00183137;0,8341844015515439
2,0;0,55;0,008;0,549086;0,00799945;2,00073;-0,00183141;0,8342064943854303
2,0;0,55;0,008;0,549042;0,00799951;2,00072;-0,00183147;0,834290251927531
2,0;0,55;0,008;0,549045;0,00799953;2,00071;-0,0018315;0,8342931033191152
2,0;0,55;0,008;0,54907;0,00799957;2,0007;-0,00183131;0,8341602305520813
2,0;0,55;0,008;0,549064;0,00799959;2,00072;-0,00183138;0,8342074847495797
2,0;0,55;0,006;0,545756;0,0059994;2,0007;-0,00136393;0,8334272885581274
2,0;0,55;0,006;0,545774;0,00599934;2,0007;-0,00136399;0,8334447985341229
2,0;0,55;0,006;0,545717;0,00599935;2,00071;-0,00136382;0,8334307414100904
2,0;0,55;0,006;0,545764;0,00599944;2,00072;-0,00136364;0,8332406444111224
2,0;0,55;0,006;0,545735;0,00599945;2,00071;-0,00136364;0,8332793684186978
2,0;0,55;0,006;0,545696;0,00599946;2,00073;-0,00136364;0,8333458629261739
2,0;0,55;0,006;0,545704;0,00599953;2,00071;-0,00136391;0,8334805889685378
2,0;0,55;0,006;0,545676;0,0059995;2,0007;-0,00136387;0,8334989136339142
2,0;0,55;0,005;0,543957;0,00499954;2,00072;-0,00113223;0,8329642343398349
2,0;0,55;0,005;0,543945;0,00499961;2,00073;-0,00113199;0,8327985444762495
2,0;0,55;0,005;0,54385;0,00499958;2,00075;-0,00113226;0,8331560180190007
2,0;0,55;0,005;0,543924;0,00499951;2,00074;-0,00113229;0,8330722407221879
2,0;0,55;0,005;0,543888;0,00499955;2,00074;-0,00113189;0,8328264026891298
2,0;0,55;0,005;0,543868;0,00499959;2,00074;-0,00113196;0,8329018716882818
2,0;0,55;0,005;0,543842;0,00499964;2,00073;-0,00113206;0,833002780838332
2,0;0,55;0,004;0,542133;0,00399938;2,00073;-0,000902024;0,8323539843492325
2,0;0,55;0,004;0,542139;0,00399926;2,00073;-0,000901428;0,8318197705175889
2,0;0,55;0,004;0,54211;0,00399927;2,00075;-0,000901355;0,8318031369431272
2,0;0,55;0,004;0,54201;0,00399934;2,00075;-0,000901488;0,8320647994094539
2,0;0,55;0,004;0,542056;0,00399943;2,00076;-0,000901513;0,8320026968388358
2,0;0,55;0,004;0,542031;0,00399934;2,00076;-0,000901271;0,8318364390184045
2,0;0,55;0,004;0,541959;0,00399944;2,00075;-0,000901238;0,8318915292101047
2,0;0,55;0,003;0,549742;0,00299937;2,00076;-0,000685968;0,832357489063703
2,0;0,55;0,003;0,549711;0,0029994;2,00076;-0,000685958;0,8323839680935927
2,0;0,55;0,003;0,549671;0,00299942;2,00076;-0,000686012;0,832504521919463
2,0;0,55;0,003;0,54971;0,00299942;2,00076;-0,000685962;0,8323847858322627
2,0;0,55;0,003;0,549688;0,00299933;2,00075;-0,000686001;0,8324862454753319
2,0;0,55;0,003;0,549688;0,00299933;2,00074;-0,000685914;0,8323765075843386
2,0;0,55;0,003;0,549664;0,00299932;2,00073;-0,000685942;0,832445446709222
2,0;0,55;0,002;0,547881;0,00199913;2,00075;-0,000455267;0,8316330129227654
2,0;0,55;0,002;0,547835;0,0019992;2,00074;-0,000455248;0,8316348558096744
2,0;0,55;0,002;0,547829;0,00199922;2,00074;-0,000455253;0,8316447783334494
2,0;0,55;0,002;0,547876;0,00199914;2,00074;-0,000455178;0,8314697103881004
2,0;0,55;0,002;0,547799;0,00199912;2,00075;-0,000455066;0,8313944385595836
2,0;0,55;0,002;0,5478;0,001999;2,00074;-0,000455157;0,8316049373536714
2,0;0,55;0,002;0,547836;0,00199899;2,00073;-0,000455051;0,8313566366534342
2,0;0,55;0,002;0,547767;0,001999;2,00073;-0,00045512;0,8315832748921875
2,0;0,55;0,001;0,543158;0,000999958;2,0007;-0,000225142;0,8293360656416497
2,0;0,55;0,001;0,543136;0,000999958;2,0007;-0,000225145;0,8293807096084331
2,0;0,55;0,001;0,543157;0,000999958;2,00071;-0,00022514;0,8293343704827225
2,0;0,55;0,001;0,543152;0,000999957;2,0007;-0,000225158;0,8294049949152674
2,0;0,55;0,001;0,543152;0,000999957;2,00072;-0,000225151;0,82938750020182
2,0;0,55;0,001;0,543179;0,000999957;2,0007;-0,000225148;0,8293269326278803
2,0;0,55;0,001;0,543151;0,00099996;2,00071;-0,000225116;0,829253464973737
2,0;0,55;0,001;0,543095;0,000999957;2,00072;-0,000225142;0,8294413910187111
2,0;0,55;0,0008;0,543963;0,000799995;2,00071;-0,000180239;0,8286598157673338
2,0;0,55;0,0008;0,543998;0,000799993;2,00072;-0,000180197;0,8284196275775461
2,0;0,55;0,0008;0,543982;0,000799993;2,00071;-0,000180345;0,8291202699159135
2,0;0,55;0,0008;0,54389;0,000799997;2,00071;-0,000180268;0,8289023119910172
2,0;0,55;0,0008;0,544063;0,000799999;2,00073;-0,000180219;0,8284197110043166
2,0;0,55;0,0008;0,543994;0,000799999;2,00072;-0,000180276;0,8287826923936936
2,0;0,55;0,0008;0,543889;0,0008;2,00071;-0,000180345;0,829254785788093
2,0;0,55;0,0008;0,54412;0,000799998;2,00072;-0,000180307;0,8287342932207215
2,0;0,55;0,0006;0,553596;0,000600004;2,00073;-0,000137424;0,8277591316393875
2,0;0,55;0,0006;0,553639;0,000600006;2,00071;-0,000137438;0,8277681283040853
2,0;0,55;0,0006;0,553523;0,000600004;2,00072;-0,000137403;0,827737653396768
2,0;0,55;0,0006;0,553572;0,000600003;2,00072;-0,0001374;0,8276476938628654
2,0;0,55;0,0006;0,553561;0,000600003;2,00072;-0,000137405;0,8276942591157213
2,0;0,55;0,0006;0,553549;0,000600003;2,00073;-0,000137439;0,82792115237381
2,0;0,55;0,0006;0,553491;0,000600004;2,00073;-0,000137402;0,8277836218260143
2,0;0,55;0,0006;0,553483;0,000600004;2,00071;-0,000137391;0,8277210413927181
2,0;0,55;0,0005;0,553671;0,000500016;2,00073;-0,00011442;0,8269033461444033
2,0;0,55;0,0005;0,553608;0,000500015;2,00073;-0,000114399;0,8268473180685577
2,0;0,55;0,0005;0,553576;0,000500015;2,00074;-0,00011441;0,8269787579884461
2,0;0,55;0,0005;0,553593;0,000500013;2,00074;-0,000114397;0,8268627063193345
2,0;0,55;0,0005;0,553563;0,000500013;2,00074;-0,000114398;0,8269147460278298
2,0;0,55;0,0005;0,553604;0,000500012;2,00073;-0,000114391;0,8268004305954908
2,0;0,55;0,0005;0,553611;0,000500011;2,0007;-0,000114388;0,826757549532754
2,0;0,55;0,0005;0,553565;0,000500012;2,00071;-0,000114434;0,8271612312552862
2,0;0,55;0,0004;0,553681;0,0004;2,00072;-9,14211e-05;0,8258727642451158
2,0;0,55;0,0004;0,553665;0,000399998;2,00072;-9,1406e-05;0,8257643462817479
2,0;0,55;0,0004;0,55364;0,000399999;2,0007;-9,1382e-05;0,8255744909646214
2,0;0,55;0,0004;0,55361;0,0004;2,00072;-9,14143e-05;0,825917244522317
2,0;0,55;0,0004;0,553611;0,000400002;2,00073;-9,14064e-05;0,825844375739186
2,0;0,55;0,0004;0,553573;0,000400002;2,00072;-9,14213e-05;0,8260315658389047
2,0;0,55;0,0004;0,553652;0,000400001;2,00072;-9,13983e-05;0,8257079791147053
2,0;0,55;0,0003;0,553719;0,000300004;2,00073;-6,83833e-05;0,8236108664807632
2,0;0,55;0,0003;0,553677;0,000300003;2,00073;-6,84083e-05;0,823977212991846
2,0;0,55;0,0003;0,553667;0,000300003;2,00073;-6,84174e-05;0,8241017065506963
2,0;0,55;0,0003;0,553673;0,000300004;2,00073;-6,83936e-05;0,8238033571999792
2,0;0,55;0,0003;0,5536;0,000300005;2,00074;-6,83689e-05;0,8236158069451252
2,0;0,55;0,0003;0,553668;0,000300003;2,00073;-6,84066e-05;0,8239701301159899
2,0;0,55;0,0003;0,553655;0,000300002;2,00072;-6,83814e-05;0,8236845600831428
2,0;0,55;0,0003;0,553607;0,000300005;2,00071;-6,83903e-05;0,8238508344069324
2,0;0,55;0,0002;0,553733;0,000199984;2,00074;-4,53802e-05;0,8199009761711494
2,0;0,55;0,0002;0,553712;0,000199985;2,00075;-4,53673e-05;0,8196989918271814
2,0;0,55;0,0002;0,553669;0,000199983;2,00075;-4,53706e-05;0,8198304808494111
2,0;0,55;0,0002;0,553679;0,000199985;2,00075;-4,53985e-05;0,820311603967539
2,0;0,55;0,0002;0,55367;0,000199985;2,00073;-4,53581e-05;0,8195867404939688
2,0;0,55;0,0002;0,553657;0,000199986;2,00073;-4,53732e-05;0,8198747369528546
2,0;0,55;0,0002;0,553637;0,000199986;2,00073;-4,53699e-05;0,8198447229522261
2,0;0,55;0,0001;0,553788;9,99919e-05;2,00072;-2,23695e-05;0,8082286271506657
2,0;0,55;0,0001;0,55377;9,99917e-05;2,00073;-2,23851e-05;0,8088242178968399
2,0;0,55;0,0001;0,553803;9,99919e-05;2,00071;-2,23821e-05;0,8086579302065997
2,0;0,55;0,0001;0,553756;9,99919e-05;2,00071;-2,23694e-05;0,8082676792111229
2,0;0,55;0,0001;0,553702;9,99919e-05;2,00072;-2,23664e-05;0,8082421367961428
2,0;0,55;0,0001;0,553753;9,99917e-05;2,00072;-2,23918e-05;0,8090870980669156
2,0;0,55;0,0001;0,55369;9,99913e-05;2,00073;-2,23739e-05;0,808539575672589
2,0;0,55;8e-05;0,553773;7,99943e-05;2,00073;-1,77982e-05;0,8038476513845715
2,0;0,55;8e-05;0,553728;7,99939e-05;2,00074;-1,77994e-05;0,803975218335924
2,0;0,55;8e-05;0,553743;7,9993e-05;2,00075;-1,77725e-05;0,8027514795014924
2,0;0,55;8e-05;0,553689;7,99932e-05;2,00075;-1,77573e-05;0,8021411411627039
2,0;0,55;8e-05;0,553683;7,99936e-05;2,00073;-1,77679e-05;0,8026166302779679
2,0;0,55;8e-05;0,553697;7,9993e-05;2,00072;-1,7757e-05;0,8021059782181578
2,0;0,55;8e-05;0,553695;7,99927e-05;2,00073;-1,77352e-05;0,8011311472667099
2,0;0,55;8e-05;0,553679;7,9993e-05;2,00073;-1,77355e-05;0,801164845335763
2,0;0,55;6e-05;0,553758;5,99926e-05;2,00073;-1,31747e-05;0,7934353055996449
2,0;0,55;6e-05;0,553739;5,99929e-05;2,00073;-1,31683e-05;0,7930731163704723
2,0;0,55;6e-05;0,553706;5,99934e-05;2,00074;-1,31792e-05;0,7937742359024652
2,0;0,55;6e-05;0,553683;5,9994e-05;2,00073;-1,31754e-05;0,7935664254165511
2,0;0,55;6e-05;0,553665;5,99936e-05;2,00075;-1,3184e-05;0,7941234603818925
2,0;0,55;6e-05;0,553646;5,99936e-05;2,00075;-1,31734e-05;0,7935122120487873
2,0;0,55;6e-05;0,553668;5,99934e-05;2,00073;-1,31635e-05;0,7928790870081311
2,0;0,55;6e-05;0,553669;5,99935e-05;2,00072;-1,31698e-05;0,7932518360603035
2,0;0,55;5e-05;0,553705;4,99919e-05;2,00072;-1,0817e-05;0,781834904064583
2,0;0,55;5e-05;0,553738;4,99914e-05;2,00073;-1,09721e-05;0,7930099094735332
2,0;0,55;5e-05;0,553733;4,99917e-05;2,00072;-1,09085e-05;0,7884116585895892
2,0;0,55;5e-05;0,553706;4,99922e-05;2,00073;-1,08704e-05;0,7856923610754066
2,0;0,55;5e-05;0,553671;4,99928e-05;2,00073;-1,08308e-05;0,7828702367412161
2,0;0,55;5e-05;0,553663;4,99929e-05;2,00074;-1,08709e-05;0,7857824482596929
2,0;0,55;5e-05;0,553683;4,99931e-05;2,00074;-1,08491e-05;0,7841752124208456
2,0;0,55;5e-05;0,553668;4,9993e-05;2,00072;-1,08587e-05;0,784884090120103
2,0;0,55;4e-05;0,553706;3,99924e-05;2,00073;-8,45446e-06;0,7638668460331139
2,0;0,55;4e-05;0,553703;3,99933e-05;2,00073;-8,55841e-06;0,7732455952748645
2,0;0,55;4e-05;0,553673;3,9993e-05;2,00074;-8,55284e-06;0,7727938795706032
2,0;0,55;4e-05;0,553634;3,9993e-05;2,00072;-8,54521e-06;0,7721511402420478
2,0;0,55;4e-05;0,553663;3,99934e-05;2,00072;-8,56325e-06;0,7737329791013619
2,0;0,55;4e-05;0,553684;3,99938e-05;2,00072;-8,59487e-06;0,7765527850038882
2,0;0,55;4e-05;0,553641;3,9994e-05;2,00073;-8,57997e-06;0,7752667655982954
2,0;0,55;3e-05;0,553684;2,99922e-05;2,00072;-6,27121e-06;0,7555572205303578
2,0;0,55;3e-05;0,553664;2,99926e-05;2,00073;-6,27463e-06;0,7559902671358409
2,0;0,55;3e-05;0,553676;2,99924e-05;2,00076;-6,27527e-06;0,7560673684915612
2,0;0,55;3e-05;0,553677;2,99919e-05;2,00074;-6,28093e-06;0,7567529902618105
2,0;0,55;3e-05;0,553688;2,99922e-05;2,00075;-6,25115e-06;0,7531462379033285
2,0;0,55;3e-05;0,553614;2,99924e-05;2,00075;-6,24307e-06;0,7522682739228846
2,0;0,55;3e-05;0,553605;2,99922e-05;2,00075;-6,27022e-06;0,7555570759154449
2,0;0,55;2e-05;0,553648;1,99905e-05;2,00075;-3,97665e-06;0,7188740425027177
2,0;0,55;2e-05;0,553658;1,999e-05;2,00074;-3,99664e-06;0,722489120758321
2,0;0,55;2e-05;0,553654;1,99899e-05;2,00075;-3,98435e-06;0,7202798136633651
2,0;0,55;2e-05;0,55363;1,999e-05;2,00074;-3,97894e-06;0,7193257969229906
2,0;0,55;2e-05;0,553597;1,99909e-05;2,00073;-3,93269e-06;0,7109713878063931
2,0;0,55;2e-05;0,553661;1,99918e-05;2,00073;-3,98513e-06;0,7203360436340004
2,0;0,55;2e-05;0,553651;1,9991e-05;2,00072;-3,9765e-06;0,7188142738090944
2,0;0,55;1e-05;0,553659;9,99971e-06;2,00071;-1,73585e-06;0,6272874046049957
2,0;0,55;1e-05;0,55361;9,9997e-06;2,00072;-1,675e-06;0,6053551307231039
2,0;0,55;1e-05;0,553486;9,99971e-06;2,00072;-1,53729e-06;0,555709818551028
2,0;0,55;1e-05;0,553629;9,99971e-06;2,0007;-1,61156e-06;0,5824011382905049
2,0;0,55;1e-05;0,553555;9,9997e-06;2,0007;-1,70221e-06;0,6152439628242095
2,0;0,55;1e-05;0,553488;9,99972e-06;2,00071;-1,74487e-06;0,6307411556971462
2,0;0,55;1e-05;0,553585;9,99972e-06;2,00071;-1,67862e-06;0,606686571876776
2,0;0,55;1e-05;0,553455;9,99969e-06;2,00073;-1,64752e-06;0,5955940187171794
2,5;0,55;0,05;0,55479;0,0500002;2,5008;-0,00849025;0,7654187087247757
2,5;0,55;0,05;0,555035;0,05;2,5008;-0,00849802;0,7657840826614538
2,5;0,55;0,05;0,55498;0,0500002;2,5008;-0,00849991;0,7660272406948138
2,5;0,55;0,05;0,55495;0,0500002;2,50078;-0,00849842;0,7659282370384707
