V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,25;0,05;0,294142;0,0436614;2,00073;-0,0038993;0,6074638463544446
2,0;0,25;0,05;0,294123;0,0436535;2,00074;-0,00389836;0,6074695876161063
2,0;0,25;0,05;0,29411;0,0436563;2,00072;-0,00389892;0,6075386634072042
2,0;0,25;0,05;0,294111;0,043658;2,00073;-0,0038983;0,6074193711016724
2,0;0,25;0,05;0,294083;0,0436619;2,00073;-0,00389835;0,6074307335873551
2,0;0,25;0,05;0,294081;0,0436665;2,00074;-0,00389871;0,6074299998255892
2,0;0,25;0,05;0,294071;0,0436781;2,00073;-0,00389862;0,6072722751311719
2,0;0,25;0,04;0,279361;0,0399985;2,00073;-0,00346672;0,6207229010362518
2,0;0,25;0,04;0,279338;0,0399986;2,00073;-0,00346647;0,620727691279432
2,0;0,25;0,04;0,279272;0,039999;2,00073;-0,00346684;0,6209344476715414
2,0;0,25;0,04;0,279333;0,0399989;2,00071;-0,00346583;0,6206133389954288
2,0;0,25;0,04;0,279288;0,039999;2,00072;-0,0034658;0,6207095124672665
2,0;0,25;0,04;0,27931;0,039999;2,00072;-0,00346488;0,6204958669847666
2,0;0,25;0,04;0,27928;0,0399992;2,00071;-0,00346601;0,6207586973191055
2,0;0,25;0,03;0,262223;0,029999;2,00072;-0,00260939;0,6636632164938009
2,0;0,25;0,03;0,26225;0,0299986;2,00073;-0,00260934;0,663594338336361
2,0;0,25;0,03;0,262174;0,0299987;2,00073;-0,00260966;0,6638658950023398
2,0;0,25;0,03;0,262241;0,029999;2,00073;-0,00260934;0,6636082640897473
2,0;0,25;0,03;0,262205;0,0299991;2,00072;-0,00260909;0,6636302576552109
2,0;0,25;0,03;0,262225;0,029999;2,00073;-0,00260898;0,6635571940998789
2,0;0,25;0,03;0,262219;0,029999;2,00071;-0,00260847;0,6634360311079214
2,0;0,25;0,02;0,246511;0,0199973;2,00072;-0,00178436;0,7242043468469791
2,0;0,25;0,02;0,246564;0,0199972;2,00073;-0,00178283;0,7234350737389602
2,0;0,25;0,02;0,246483;0,0199973;2,00074;-0,00178304;0,7237580509711278
2,0;0,25;0,02;0,246536;0,0199975;2,00075;-0,00178271;0,7234649164557323
2,0;0,25;0,02;0,246495;0,0199976;2,00073;-0,00178251;0,7234932234343627
2,0;0,25;0,02;0,246464;0,0199976;2,00074;-0,00178311;0,7238314028659161
2,0;0,25;0,02;0,246496;0,0199975;2,00074;-0,00178263;0,7235462288085894
2,0;0,25;0,02;0,246472;0,0199971;2,00072;-0,00178321;0,7238593640025999
2,0;0,25;0,01;0,237449;0,00999941;2,00071;-0,000846628;0,7133982662996734
2,0;0,25;0,01;0,237495;0,00999935;2,00072;-0,000846363;0,7130446768625004
2,0;0,25;0,01;0,237478;0,00999938;2,00072;-0,000845912;0,7127135962049653
2,0;0,25;0,01;0,237363;0,00999926;2,00072;-0,000845976;0,7131214054046974
2,0;0,25;0,01;0,237385;0,00999934;2,00072;-0,000845764;0,7128709221265624
2,0;0,25;0,01;0,237331;0,00999931;2,00072;-0,000845694;0,7129762464752732
2,0;0,25;0,01;0,237359;0,00999935;2,00072;-0,000845619;0,7128260663692916
2,0;0,25;0,01;0,237311;0,00999935;2,00073;-0,000845826;0,7131483402137898
2,0;0,25;0,008;0,232488;0,00799944;2,00073;-0,000658281;0,7081735103328556
2,0;0,25;0,008;0,232468;0,00799942;2,00075;-0,000657669;0,7075848377156164
2,0;0,25;0,008;0,232419;0,00799948;2,00074;-0,000657883;0,707955457286034
2,0;0,25;0,008;0,232444;0,00799943;2,00075;-0,000658166;0,7081917875978566
2,0;0,25;0,008;0,232431;0,00799947;2,00074;-0,000657464;0,7074689237590895
2,0;0,25;0,008;0,232345;0,00799944;2,00076;-0,000657253;0,7075133794087659
2,0;0,25;0,008;0,232295;0,0079995;2,00076;-0,000657507;0,7079338395497262
2,0;0,25;0,008;0,232326;0,00799951;2,00076;-0,000657441;0,7077674405907095
2,0;0,25;0,006;0,238701;0,00599938;2,00073;-0,000507969;0,7096841144366356
2,0;0,25;0,006;0,238197;0,00599942;2,00073;-0,000508021;0,7112537927789557
2,0;0,25;0,006;0,238086;0,00599946;2,00073;-0,000507622;0,7110217719633408
2,0;0,25;0,006;0,238228;0,00599947;2,00074;-0,000508224;0,7114430385706566
2,0;0,25;0,006;0,238202;0,0059994;2,00075;-0,000507942;0,7111377410484351
2,0;0,25;0,006;0,238626;0,00599944;2,00075;-0,000508481;0,7106227050279667
2,0;0,25;0,006;0,238572;0,00599936;2,00076;-0,000508493;0,7108133575225173
2,0;0,25;0,006;0,238258;0,00599936;2,00075;-0,00050949;0,7131420988022178
2,0;0,25;0,005;0,245707;0,00499941;2,00072;-0,000440063;0,7167453510697581
2,0;0,25;0,005;0,245709;0,00499945;2,00072;-0,000440166;0,7169015392665075
2,0;0,25;0,005;0,245682;0,00499948;2,00073;-0,000440038;0,716771109462681
2,0;0,25;0,005;0,245617;0,00499956;2,00073;-0,000440172;0,717167647947106
2,0;0,25;0,005;0,245664;0,00499959;2,00075;-0,000439984;0,7167270567560775
2,0;0,25;0,005;0,245601;0,00499954;2,00074;-0,000439943;0,7168476877000626
2,0;0,25;0,005;0,245581;0,00499956;2,00074;-0,000439939;0,716896681412425
2,0;0,25;0,004;0,243777;0,00399933;2,00072;-0,000348432;0,715030188802271
2,0;0,25;0,004;0,243766;0,00399937;2,00074;-0,00034828;0,7147505120486364
2,0;0,25;0,004;0,24372;0,00399942;2,00076;-0,000348322;0,7149698333535567
2,0;0,25;0,004;0,243757;0,00399929;2,00076;-0,00034815;0,7145315377255519
2,0;0,25;0,004;0,243681;0,0039993;2,00075;-0,000348267;0,7149892284925085
2,0;0,25;0,004;0,24374;0,00399935;2,00074;-0,000348277;0,7148241725696279
2,0;0,25;0,004;0,24372;0,00399937;2,00075;-0,000348212;0,714749409360548
2,0;0,25;0,003;0,241844;0,00299932;2,00072;-0,000258231;0,712256743649542
2,0;0,25;0,003;0,241848;0,00299928;2,00073;-0,000258272;0,7123711093196189
2,0;0,25;0,003;0,241804;0,00299939;2,00072;-0,000258394;0,7128075950134541
2,0;0,25;0,003;0,241859;0,00299936;2,00073;-0,000258181;0,7120687302351875
2,0;0,25;0,003;0,24182;0,00299939;2,00073;-0,00025822;0,7122840263545671
2,0;0,25;0,003;0,241854;0,00299942;2,00073;-0,000258272;0,712320186975297
2,0;0,25;0,003;0,241847;0,00299944;2,00074;-0,000258267;0,7123258243760764
2,0;0,25;0,003;0,241846;0,00299949;2,00072;-0,000258288;0,7123676938098504
2,0;0,25;0,002;0,239793;0,00199917;2,00076;-0,000169975;0,7094043038257344
2,0;0,25;0,002;0,239748;0,00199914;2,00074;-0,000169986;0,7095869300279425
2,0;0,25;0,002;0,239757;0,00199914;2,00073;-0,000170041;0,7097863284430564
2,0;0,25;0,002;0,239772;0,00199914;2,00073;-0,000170036;0,7097210548846898
2,0;0,25;0,002;0,239782;0,00199916;2,00074;-0,000170074;0,709846506052431
2,0;0,25;0,002;0,239816;0,00199924;2,00074;-0,000170012;0,709458741167559
2,0;0,25;0,002;0,239732;0,00199914;2,00073;-0,000169986;0,7096307418480304
2,0;0,25;0,002;0,239758;0,00199909;2,00075;-0,000169934;0,7093615621784812
2,0;0,25;0,001;0,234534;0,000999964;2,00072;-8,22925e-05;0,7020311682161571
2,0;0,25;0,001;0,234521;0,000999965;2,00073;-8,22593e-05;0,7017896467409783
2,0;0,25;0,001;0,234486;0,000999964;2,00074;-8,23033e-05;0,7022740491354565
2,0;0,25;0,001;0,234489;0,000999963;2,00073;-8,23132e-05;0,7023467295333412
2,0;0,25;0,001;0,234559;0,000999964;2,00072;-8,23052e-05;0,7020646748373345
2,0;0,25;0,001;0,23455;0,000999965;2,00071;-8,22993e-05;0,7020370739750567
2,0;0,25;0,001;0,234503;0,000999962;2,0007;-8,22794e-05;0,7020065894284814
2,0;0,25;0,0008;0,23446;0,000799995;2,00071;-6,56962e-05;0,7007584758656129
2,0;0,25;0,0008;0,234484;0,000799996;2,00071;-6,56519e-05;0,7002133919816919
2,0;0,25;0,0008;0,234414;0,000799994;2,00072;-6,57e-05;0,700940909364276
2,0;0,25;0,0008;0,234414;0,000799996;2,00071;-6,56541e-05;0,7004459587970213
2,0;0,25;0,0008;0,234392;0,000799995;2,00072;-6,56193e-05;0,7001447705001944
2,0;0,25;0,0008;0,234339;0,000799996;2,00069;-6,564e-05;0,7005126559692431
2,0;0,25;0,0008;0,234382;0,000799998;2,0007;-6,562e-05;0,7001724866652278
2,0;0,25;0,0008;0,234377;0,000799996;2,0007;-6,56306e-05;0,7003022798684908
2,0;0,25;0,0006;0,234449;0,000600006;2,00073;-4,90961e-05;0,6982830514839842
2,0;0,25;0,0006;0,234397;0,000600006;2,00073;-4,90952e-05;0,6984251593338621
2,0;0,25;0,0006;0,23443;0,000600006;2,00072;-4,90937e-05;0,6983020179893609
2,0;0,25;0,0006;0,234459;0,000600007;2,00071;-4,90883e-05;0,6981341933705972
2,0;0,25;0,0006;0,234379;0,000600006;2,00073;-4,90786e-05;0,6982426288016802
2,0;0,25;0,0006;0,234354;0,000600005;2,00073;-4,90825e-05;0,698373769963158
2,0;0,25;0,0006;0,234418;0,000600005;2,00073;-4,90813e-05;0,6981660327248385
2,0;0,25;0,0006;0,234393;0,000600007;2,00072;-4,90488e-05;0,697772332971739
2,0;0,25;0,0005;0,234486;0,000500012;2,00073;-4,08042e-05;0,6962993764790467
2,0;0,25;0,0005;0,234443;0,000500011;2,00072;-4,0812e-05;0,6965581254723519
2,0;0,25;0,0005;0,234467;0,000500013;2,00073;-4,08096e-05;0,6964465633920942
2,0;0,25;0,0005;0,234418;0,000500013;2,00073;-4,08016e-05;0,696455585881358
2,0;0,25;0,0005;0,234452;0,000500013;2,00073;-4,07821e-05;0,696021783093442
2,0;0,25;0,0005;0,23442;0,000500014;2,00072;-4,08165e-05;0,6966990990287592
2,0;0,25;0,0005;0,234445;0,00050001;2,00073;-4,07861e-05;0,6961150107373848
2,0;0,25;0,0005;0,234442;0,000500008;2,00073;-4,0781e-05;0,6960396574211538
2,0;0,25;0,0004;0,234465;0,000399996;2,00073;-3,24998e-05;0,6933228316993039
2,0;0,25;0,0004;0,234516;0,000399995;2,00073;-3,25062e-05;0,6933102910652268
