V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,15;0,05;0,192034;0,0323828;2,00073;-0,0018023;0,5798598530199601
2,0;0,15;0,05;0,192048;0,0323789;2,00072;-0,00180226;0,5798716522212503
2,0;0,15;0,05;0,192058;0,0323718;2,00072;-0,00180209;0,5799139282771454
2,0;0,15;0,05;0,192057;0,0323705;2,00072;-0,00180235;0,5800239092361978
2,0;0,15;0,05;0,192062;0,0323679;2,00072;-0,00180259;0,5801326392773586
2,0;0,15;0,05;0,19208;0,0323677;2,00073;-0,00180266;0,5801072846019358
2,0;0,15;0,05;0,192093;0,0323592;2,00073;-0,00180226;0,5800916481289207
2,0;0,15;0,04;0,189021;0,0324264;2,00071;-0,00176136;0,5749412649226683
2,0;0,15;0,04;0,189065;0,0324183;2,00071;-0,0017617;0,5750620672607593
2,0;0,15;0,04;0,189079;0,0324118;2,00071;-0,00176175;0,5751511280082281
2,0;0,15;0,04;0,189139;0,0323926;2,0007;-0,0017617;0,5752902713193426
2,0;0,15;0,04;0,189174;0,0323815;2,00072;-0,00176238;0,5756088461663643
2,0;0,15;0,04;0,189194;0,0323789;2,00071;-0,0017622;0,5755325489495092
2,0;0,15;0,04;0,189223;0,0323647;2,00071;-0,00176219;0,5756935528644209
2,0;0,15;0,03;0,169084;0,0299991;2,00073;-0,00146482;0,5777793369996126
2,0;0,15;0,03;0,169148;0,0299989;2,00073;-0,00146492;0,5776040040316334
2,0;0,15;0,03;0,169182;0,0299988;2,00073;-0,00146605;0,5779353099033231
2,0;0,15;0,03;0,169283;0,0299988;2,00073;-0,00146627;0,5776771690421854
2,0;0,15;0,03;0,169334;0,0299988;2,00073;-0,00146712;0,5778379641687609
2,0;0,15;0,03;0,169401;0,0299988;2,00072;-0,00146811;0,5779962997033466
2,0;0,15;0,03;0,169461;0,0299991;2,00073;-0,00146879;0,578056382473719
2,0;0,15;0,02;0,133796;0,019997;2,00074;-0,00071879;0,5375077183727698
2,0;0,15;0,02;0,13383;0,0199968;2,00073;-0,000719829;0,5381506169769946
2,0;0,15;0,02;0,133963;0,0199968;2,00072;-0,000722168;0,5393605603442687
2,0;0,15;0,02;0,134132;0,019997;2,00073;-0,000721129;0,5379032871727646
2,0;0,15;0,02;0,134143;0,0199971;2,00073;-0,000723155;0,5393675872278594
2,0;0,15;0,02;0,13419;0,0199972;2,00074;-0,000721928;0,5382638310104155
2,0;0,15;0,02;0,134235;0,0199973;2,00074;-0,000722957;0,5388476497033174
2,0;0,15;0,01;0,132482;0,00999946;2,00074;-0,000348434;0,5262326112138641
2,0;0,15;0,01;0,132529;0,00999934;2,00072;-0,000349404;0,5275114969983795
2,0;0,15;0,01;0,132667;0,00999934;2,00072;-0,000350234;0,5282145665942986
2,0;0,15;0,01;0,132656;0,00999928;2,00071;-0,000350434;0,5285605567671553
2,0;0,15;0,01;0,132822;0,00999931;2,00073;-0,000350415;0,5278750366720147
2,0;0,15;0,01;0,132748;0,0099993;2,00073;-0,00035045;0,5282225817668809
2,0;0,15;0,01;0,132914;0,00999928;2,00074;-0,000351;0,5283945305551384
2,0;0,15;0,01;0,132971;0,00999933;2,00074;-0,000349934;0,5265613275141257
2,0;0,15;0,008;0,11922;0,00799962;2,00075;-0,000217781;0,4568717850262122
2,0;0,15;0,008;0,118188;0,00799966;2,00076;-0,000221692;0,46913745230253107
2,0;0,15;0,008;0,11924;0,00799963;2,00075;-0,000223798;0,46941521148087073
2,0;0,15;0,008;0,119761;0,0079996;2,00072;-0,00022356;0,46687081809439035
2,0;0,15;0,008;0,11992;0,00799958;2,00073;-0,000223387;0,4658944900123434
2,0;0,15;0,008;0,119596;0,00799955;2,00073;-0,000226453;0,4735701835605423
2,0;0,15;0,008;0,120093;0,00799956;2,00073;-0,000226413;0,4715264392812819
2,0;0,15;0,008;0,120126;0,00799952;2,00073;-0,000227778;0,47424123723983047
2,0;0,15;0,006;0,10925;0,00599943;2,00073;-0,000138114;0,42159432029337973
2,0;0,15;0,006;0,109247;0,00599947;2,00073;-0,000138103;0,4215695083132101
2,0;0,15;0,006;0,10928;0,00599952;2,00073;-0,000138122;0,42149667279019204
2,0;0,15;0,006;0,109004;0,00599952;2,00072;-0,000138177;0,42273006111157846
2,0;0,15;0,006;0,109295;0,00599957;2,00073;-0,0001382;0,4216733051482548
2,0;0,15;0,006;0,109305;0,0059995;2,00071;-0,000138241;0,42176051930649927
2,0;0,15;0,006;0,109316;0,00599944;2,00071;-0,000138175;0,4215209552756204
2,0;0,15;0,006;0,10932;0,00599947;2,00071;-0,000138207;0,42160104031838586
2,0;0,15;0,005;0,107535;0,00499958;2,00074;-0,000112779;0,41969667909908864
2,0;0,15;0,005;0,107554;0,00499956;2,00074;-0,000112671;0,4192223733547488
2,0;0,15;0,005;0,107528;0,00499953;2,00074;-0,000112727;0,4195346709514286
2,0;0,15;0,005;0,107351;0,00499955;2,00073;-0,000112729;0,4202300726091719
2,0;0,15;0,005;0,107543;0,00499957;2,00074;-0,000112821;0,4198225855732827
2,0;0,15;0,005;0,107591;0,00499961;2,00073;-0,000112806;0,41957404227566464
2,0;0,15;0,005;0,107617;0,0049996;2,00072;-0,000112751;0,4192668980148219
2,0;0,15;0,005;0,107578;0,00499962;2,00073;-0,00011277;0,41948998996035103
2,0;0,15;0,004;0,105826;0,00399945;2,00072;-8,82212e-05;0,41702935045599077
2,0;0,15;0,004;0,10582;0,00399943;2,00073;-8,81899e-05;0,41690919841685076
2,0;0,15;0,004;0,105804;0,00399949;2,00074;-8,82778e-05;0,41738367077702754
2,0;0,15;0,004;0,105851;0,00399942;2,00075;-8,82721e-05;0,4171807925701295
2,0;0,15;0,004;0,105865;0,00399955;2,00076;-8,82376e-05;0,4169511259975657
2,0;0,15;0,004;0,105884;0,0039995;2,00074;-8,82225e-05;0,41680601222540525
2,0;0,15;0,004;0,105825;0,00399954;2,00077;-8,82583e-05;0,41720970576629307
2,0;0,15;0,003;0,104074;0,00299938;2,00076;-6,46321e-05;0,4142566849009331
2,0;0,15;0,003;0,104074;0,00299936;2,00075;-6,45949e-05;0,41401894448143267
2,0;0,15;0,003;0,104078;0,00299943;2,00075;-6,4636e-05;0,414256783566128
2,0;0,15;0,003;0,104079;0,00299948;2,00075;-6,46186e-05;0,41413438301698385
2,0;0,15;0,003;0,104085;0,00299942;2,00075;-6,467e-05;0,4144481992207434
2,0;0,15;0,003;0,104129;0,0029994;2,00076;-6,46581e-05;0,41420167420436815
2,0;0,15;0,003;0,104119;0,00299944;2,00075;-6,46897e-05;0,4144363073777031
2,0;0,15;0,002;0,102417;0,00199929;2,00074;-4,20406e-05;0,41078229453159104
2,0;0,15;0,002;0,10243;0,00199933;2,00073;-4,20418e-05;0,4107316130245622
2,0;0,15;0,002;0,102419;0,00199931;2,00074;-4,20493e-05;0,4108551697008449
2,0;0,15;0,002;0,102464;0,00199923;2,00073;-4,20508e-05;0,41070376177823464
2,0;0,15;0,002;0,102449;0,00199924;2,00074;-4,20586e-05;0,4108400857134543
2,0;0,15;0,002;0,102453;0,00199924;2,00074;-4,20722e-05;0,4109568889650391
2,0;0,15;0,002;0,102465;0,00199922;2,00074;-4,20555e-05;0,4107497647988439
2,0;0,15;0,001;0,099763;0,000999967;2,0007;-1,98058e-05;0,39720910300880624
