V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;1,5;0,05;1,52029;0,0499998;2,00079;-0,0304101;0,8004323827278932
2,0;1,5;0,05;1,51958;0,0499998;2,00079;-0,0304012;0,8005720035094042
2,0;1,5;0,05;1,51914;0,0499997;2,0008;-0,0303899;0,8005118257285107
2,0;1,5;0,05;1,51884;0,0499996;2,0008;-0,0303826;0,8004792130828684
2,0;1,5;0,05;1,51849;0,0499997;2,00081;-0,0303745;0,8004526600610862
2,0;1,5;0,05;1,51814;0,0499998;2,00079;-0,0303683;0,8004641732690793
2,0;1,5;0,05;1,51788;0,0499999;2,00077;-0,0303588;0,8003412359105532
2,0;1,5;0,04;1,54356;0,0399979;2,00078;-0,0261601;0,8477699749933182
2,0;1,5;0,04;1,54313;0,039998;2,00078;-0,0261507;0,8476993799402567
2,0;1,5;0,04;1,54301;0,0399981;2,00076;-0,0261778;0,8486332409089443
2,0;1,5;0,04;1,54312;0,0399983;2,00077;-0,0261713;0,8483620426885148
2,0;1,5;0,04;1,54278;0,0399981;2,00075;-0,0261486;0,8478087707999404
2,0;1,5;0,04;1,54237;0,0399982;2,00076;-0,0261596;0,8483930033106475
2,0;1,5;0,04;1,54229;0,0399982;2,00076;-0,0261462;0,8480024066507785
2,0;1,5;0,04;1,54203;0,0399986;2,00076;-0,0261475;0,8481790753845817
2,0;1,5;0,03;1,54196;0,0299988;2,00077;-0,0199888;0,8645834124457702
2,0;1,5;0,03;1,5418;0,029999;2,00077;-0,0199863;0,864559225762405
2,0;1,5;0,03;1,54162;0,0299986;2,00077;-0,0199843;0,8645851748488852
2,0;1,5;0,03;1,54149;0,0299989;2,00075;-0,0199821;0,8645456134921303
2,0;1,5;0,03;1,54133;0,0299987;2,00075;-0,0199817;0,8646238150777222
2,0;1,5;0,03;1,54125;0,0299987;2,00074;-0,0199782;0,8645129176035586
2,0;1,5;0,03;1,54111;0,0299986;2,00074;-0,0199757;0,8644861429648263
2,0;1,5;0,02;1,53465;0,0199965;2,00075;-0,0133923;0,873141566756882
2,0;1,5;0,02;1,53454;0,0199967;2,00077;-0,0133907;0,8730998279879683
2,0;1,5;0,02;1,53444;0,0199966;2,00077;-0,0133895;0,8730828469027218
2,0;1,5;0,02;1,53432;0,0199968;2,00077;-0,0133879;0,8730380607116964
2,0;1,5;0,02;1,53417;0,0199967;2,00076;-0,0133869;0,8730582050565221
2,0;1,5;0,02;1,53409;0,0199966;2,00075;-0,0133857;0,8730254709238685
2,0;1,5;0,02;1,53396;0,0199967;2,00076;-0,013385;0,8730537972857675
2,0;1,5;0,02;1,53392;0,0199968;2,00074;-0,0133835;0,8729656298961104
2,0;1,5;0,01;1,52777;0,00999937;2,00074;-0,00684725;0,89675998953349
2,0;1,5;0,01;1,5276;0,0099993;2,00075;-0,00684792;0,8969583055417178
2,0;1,5;0,01;1,52751;0,00999935;2,00075;-0,00684247;0,8962927748436819
2,0;1,5;0,01;1,52748;0,00999932;2,00076;-0,00684697;0,8969070169377379
2,0;1,5;0,01;1,52749;0,00999924;2,00075;-0,00684543;0,8967021091570867
2,0;1,5;0,01;1,52716;0,00999922;2,00075;-0,00684469;0,89680071327682
2,0;1,5;0,01;1,52715;0,00999924;2,00074;-0,006844;0,8967099048556929
2,0;1,5;0,008;1,52742;0,00799929;2,00075;-0,00551256;0,9026850304115843
2,0;1,5;0,008;1,52739;0,00799927;2,00074;-0,00551089;0,9024270372959527
2,0;1,5;0,008;1,52754;0,00799931;2,00074;-0,00549877;0,9003494229637776
2,0;1,5;0,008;1,52729;0,00799935;2,00073;-0,00551457;0,9030752307723142
2,0;1,5;0,008;1,52701;0,00799935;2,00074;-0,00550966;0,9024411163152064
2,0;1,5;0,008;1,52726;0,00799933;2,00075;-0,00550756;0,901956249225721
2,0;1,5;0,008;1,52721;0,00799934;2,00075;-0,00550743;0,9019633608202557
2,0;1,5;0,006;1,53108;0,0059994;2,00075;-0,00415004;0,9039395864676382
2,0;1,5;0,006;1,53099;0,00599941;2,00074;-0,00414994;0,9039649173341852
2,0;1,5;0,006;1,53088;0,00599934;2,00073;-0,00414975;0,9039945103683917
2,0;1,5;0,006;1,53081;0,00599942;2,00073;-0,00414958;0,903986758202325
2,0;1,5;0,006;1,53073;0,00599945;2,00071;-0,00414915;0,9039267662923827
2,0;1,5;0,006;1,53063;0,00599943;2,00073;-0,00414912;0,9039913361456331
2,0;1,5;0,006;1,53059;0,00599941;2,00072;-0,004149;0,9039873103425291
2,0;1,5;0,006;1,53049;0,00599944;2,00074;-0,00414849;0,9039397650678087
2,0;1,5;0,005;1,52859;0,00499951;2,00071;-0,00345155;0,9036075613194195
2,0;1,5;0,005;1,5285;0,00499954;2,00072;-0,00345126;0,903583935374655
2,0;1,5;0,005;1,52843;0,00499952;2,00074;-0,00345113;0,9036039284715883
2,0;1,5;0,005;1,52833;0,00499956;2,00073;-0,00345096;0,9036067923710654
