V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;0,8;0,05;0,820585;0,0500003;2,00075;-0,0157336;0,7672285339637465
2,0;0,8;0,05;0,820481;0,0500005;2,00076;-0,0157309;0,76719487104741
2,0;0,8;0,05;0,820469;0,0500003;2,00076;-0,0157303;0,767179898175381
2,0;0,8;0,05;0,820339;0,0500002;2,00075;-0,0157293;0,7672503951150835
2,0;0,8;0,05;0,820346;0,0500004;2,00076;-0,0157279;0,7671763247212343
2,0;0,8;0,05;0,820263;0,0500003;2,00075;-0,0157265;0,7671833567371313
2,0;0,8;0,05;0,820217;0,0500001;2,00076;-0,015726;0,7672088930666481
2,0;0,8;0,04;0,837037;0,0399987;2,00077;-0,0134405;0,8031969668680543
2,0;0,8;0,04;0,836905;0,0399988;2,00075;-0,0134386;0,8032000523526497
2,0;0,8;0,04;0,836897;0,0399988;2,00074;-0,0134387;0,8032096925469464
2,0;0,8;0,04;0,836901;0,0399987;2,00076;-0,0134379;0,8031680756689085
2,0;0,8;0,04;0,836882;0,0399988;2,00075;-0,0134396;0,80328189644992
2,0;0,8;0,04;0,8369;0,0399987;2,00074;-0,0134379;0,8031610067236374
2,0;0,8;0,04;0,836905;0,0399989;2,00076;-0,0134382;0,8031781514685641
2,0;0,8;0,03;0,826595;0,0299989;2,00075;-0,0102098;0,8237813510808593
2,0;0,8;0,03;0,826561;0,0299989;2,00075;-0,0102097;0,8238071678744475
2,0;0,8;0,03;0,826542;0,0299989;2,00075;-0,0102077;0,8236647239477682
2,0;0,8;0,03;0,826517;0,0299989;2,00075;-0,0102069;0,8236250832971884
2,0;0,8;0,03;0,8264;0,029999;2,00074;-0,0102059;0,8236541236595591
2,0;0,8;0,03;0,826412;0,0299988;2,00073;-0,0102068;0,8237161705748686
2,0;0,8;0,03;0,826403;0,0299988;2,00073;-0,0102066;0,8237090006008799
2,0;0,8;0,02;0,809655;0,0199968;2,00075;-0,00661004;0,8168388927765493
2,0;0,8;0,02;0,809666;0,0199966;2,00076;-0,00661031;0,8168734130702134
2,0;0,8;0,02;0,809675;0,0199966;2,00075;-0,0066103;0,8168590145488535
2,0;0,8;0,02;0,809675;0,0199967;2,00076;-0,00661022;0,8168491264300034
2,0;0,8;0,02;0,809626;0,0199967;2,00078;-0,00661043;0,8169326817691163
2,0;0,8;0,02;0,809616;0,0199968;2,00076;-0,00660942;0,8168057026967441
2,0;0,8;0,02;0,809566;0,0199968;2,00074;-0,00660914;0,8168133796064508
2,0;0,8;0,01;0,809422;0,00999925;2,00073;-0,00350609;0,8667006321324718
2,0;0,8;0,01;0,809368;0,00999921;2,00072;-0,00350606;0,866750175925728
2,0;0,8;0,01;0,809378;0,00999929;2,00073;-0,00350604;0,8667319205564471
2,0;0,8;0,01;0,809344;0,00999929;2,00074;-0,00350584;0,8667232191056341
2,0;0,8;0,01;0,809287;0,00999926;2,00074;-0,00350567;0,8667448340751347
2,0;0,8;0,01;0,809254;0,00999928;2,00073;-0,00350575;0,8667938924152024
2,0;0,8;0,01;0,809208;0,00999922;2,00074;-0,00350561;0,8668180828142065
2,0;0,8;0,01;0,809232;0,00999922;2,00076;-0,00350519;0,8666971899898116
2,0;0,8;0,008;0,806489;0,0079996;2,00073;-0,00279312;0,866186396454303
2,0;0,8;0,008;0,806472;0,00799958;2,00073;-0,00279299;0,866166505020343
2,0;0,8;0,008;0,80648;0,0079996;2,00073;-0,00279256;0,8660223968196722
2,0;0,8;0,008;0,806475;0,00799957;2,00073;-0,00279278;0,8660992403632312
2,0;0,8;0,008;0,806412;0,00799959;2,00074;-0,00279219;0,8659860810359201
2,0;0,8;0,008;0,806389;0,00799953;2,00074;-0,00279283;0,8662157768196871
2,0;0,8;0,008;0,806332;0,00799952;2,00074;-0,0027922;0,8660826799764497
2,0;0,8;0,008;0,806379;0,00799949;2,00074;-0,00279216;0,8660230414645314
2,0;0,8;0,006;0,809212;0,00599933;2,00076;-0,0021011;0,8659177719404567
2,0;0,8;0,006;0,809156;0,00599928;2,00075;-0,00210098;0,8659311306732735
2,0;0,8;0,006;0,80915;0,0059993;2,00074;-0,00210079;0,8658520273368233
2,0;0,8;0,006;0,80908;0,00599938;2,00073;-0,00210138;0,8661542525690195
2,0;0,8;0,006;0,809117;0,00599946;2,00072;-0,00210107;0,8659709974375333
2,0;0,8;0,006;0,809059;0,00599947;2,00072;-0,0021012;0,8660852180210623
2,0;0,8;0,006;0,809034;0,00599944;2,00073;-0,00210125;0,8661412510936343
2,0;0,8;0,006;0,809062;0,00599949;2,00073;-0,00210122;0,8660916919339915
