V_inp_nom;V_inp;I_inp;V_out;I_out;eta
3,5;3,4991;1,7662000000000001e-06;1,8058299999999998;-2,0002e-06;0,5848838898360141
3,5;3,499295;2,48649e-06;1,80621;-3,0003949999999998e-06;0,6228014228466541
3,5;3,499365;3,01626e-06;1,806025;-4,00044e-06;0,6849579688613234
3,5;3,4993;3,589625e-06;1,805955;-5,00039e-06;0,7189679489524398
3,5;3,499355;4,248105e-06;1,8058999999999998;-6,0004e-06;0,7289026942851122
3,5;3,49938;4,73911e-06;1,80594;-7,00017e-06;0,7623258742807788
3,5;3,49958;5,431635e-06;1,805925;-7,99989e-06;0,7599839598063698
3,5;3,49957;5,862135e-06;1,805925;-8,99977e-06;0,7922460876908413
3,5;3,49963;6,495315e-06;1,805915;-9,999395e-06;0,7943515201103821
3,5;3,4995849999999997;1,2292400000000001e-05;1,80558;-2,00059e-05;0,8396699324847156
3,5;3,499645;1,836545e-05;1,80564;-3,000635e-05;0,8429798324579463
3,5;3,4997350000000003;2,44794e-05;1,805485;-4,00073e-05;0,843082843310331
3,5;3,499815;2,994735e-05;1,80533;-5,00083e-05;0,8614209656144829
3,5;3,49985;3,592145e-05;1,8055150000000002;-6,0006150000000005e-05;0,8616928079138406
3,5;3,49987;4,172705e-05;1,80533;-7,000645e-05;0,8654680922539917
3,5;3,49988;4,790275e-05;1,80515;-8,000375e-05;0,8615185173876669
3,5;3,4999;5,9454849999999995e-05;1,80453;-9,999895e-05;0,8672474826912293
3,5;3,4999;0,000118977;1,804175;-0,000200035;0,8667277559180165
3,5;3,49989;0,00017779850000000002;1,8039800000000001;-0,0003000485;0,869930983304931
3,5;3,49991;0,000236655;1,80383;-0,00040004;0,8712004954417069
3,5;3,49987;0,00029555149999999997;1,8037100000000001;-0,000500045;0,8719862166182629
3,5;3,49985;0,000354376;1,803695;-0,000600036;0,8726235180602839
3,5;3,49986;0,000413178;1,80363;-0,000700025;0,8732051314163465
3,5;3,49985;0,00047192;1,80393;-0,000799992;0,8737593302860542
3,5;3,49986;0,000530737;1,803465;-0,000899967;0,8737950764030036
3,5;3,49985;0,0005894415;1,8038349999999999;-0,00099994;0,8743145494203981
3,5;3,499855;0,00117077;1,8039749999999999;-0,002000675;0,8808694131908925
3,5;3,4999;0,0017494350000000001;1,8054000000000001;-0,00300083;0,8848367001728301
3,5;3,4999;0,002337595;1,807695;-0,004000965;0,8840654347821163
3,5;3,499895;0,002926715;1,807915;-0,00500095;0,8826326864212566
3,5;3,49989;0,003521065;1,8088250000000001;-0,00600075;0,8808344505615937
3,5;3,499895;0,00411848;1,80951;-0,0070006849999999995;0,878789833983241
3,5;3,49989;0,0047136750000000005;1,809475;-0,008000614999999999;0,8775659542381256
3,5;3,49989;0,005302175;1,80959;-0,009000335000000002;0,8776429044023903
3,5;3,499885;0,00588941;1,8093;-0,0100001;0,877670602625627
3,5;3,4998750000000003;0,01173815;1,803855;-0,0200004;0,8782066767206058
3,5;3,49987;0,017498399999999997;1,800115;-0,0300015;0,8817902388962882
3,5;3,49984;0,0234106;1,80108;-0,040002750000000004;0,8793827921310324
3,5;3,49982;0,029127899999999998;1,79753;-0,0500032;0,881656350733226
3,5;3,49983;0,03500695;1,797075;-0,0600021;0,880109120157158
3,5;3,499815;0,04079585;1,7957649999999998;-0,0700007;0,8804496919389377
3,5;3,4998250000000004;0,046527200000000005;1,79428;-0,07999925;0,8815348175349162
4,0;3,9946099999999998;1,3433e-06;1,808325;-5,000709999999999e-07;0,1695040801496131
4,0;3,9995649999999996;1,09095e-06;1,807955;-6,00064e-07;0,24864276437209948
