V_inp_nom;I_out_nom;V_inp;I_inp;V_out;I_out;eta
2,0;2e-06;1,99852;2,51798e-06;1,80688;-2,0002e-06;0,7181943078135486
2,0;2e-06;1,99876;2,29234e-06;1,80858;-2,00021e-06;0,789539088425389
2,0;2e-06;1,99849;2,49323e-06;1,80502;-2,00021e-06;0,7245915900598879
2,0;2e-06;1,99842;2,29677e-06;1,8072;-2,0002e-06;0,7875449782289566
2,0;2e-06;1,99867;2,872e-06;1,8076;-2,00018e-06;0,629862690165283
2,0;2e-06;1,99837;2,50171e-06;1,80616;-2,00018e-06;0,722624088349598
2,0;2e-06;1,9985;2,80792e-06;1,80767;-2,00019e-06;0,6443198622541653
2,0;2e-06;1,99857;2,87199e-06;1,80642;-2,00019e-06;0,6294883502855869
2,0;2e-06;1,99826;2,37263e-06;1,8061;-2,00017e-06;0,761950378864316
2,0;3e-06;1,99854;3,60093e-06;1,80682;-3,0004e-06;0,7532974929324076
2,0;3e-06;1,99866;3,60317e-06;1,80646;-3,00041e-06;0,7526365067645969
2,0;3e-06;1,99856;3,68757e-06;1,80693;-3,00043e-06;0,7356434346589892
2,0;3e-06;1,99867;3,43161e-06;1,80636;-3,00041e-06;0,7902161356738006
2,0;3e-06;1,99851;3,48494e-06;1,80676;-3,0004e-06;0,7783554899151386
2,0;3e-06;1,99861;3,1143e-06;1,80673;-3,0004e-06;0,8709313243069665
2,0;3e-06;1,99854;3,41811e-06;1,80697;-3,00043e-06;0,7936619535262985
2,0;3e-06;1,99862;3,59022e-06;1,80641;-3,00041e-06;0,7553454927641124
2,0;3e-06;1,99863;3,67068e-06;1,80735;-3,00043e-06;0,7391742597250662
2,0;3e-06;1,99867;3,57828e-06;1,80697;-3,00043e-06;0,7580869605165154
2,0;4e-06;1,99869;4,25709e-06;1,80646;-4,00044e-06;0,8493326886042911
2,0;4e-06;1,99869;4,71174e-06;1,80643;-4,00043e-06;0,7673633543723595
2,0;4e-06;1,99871;4,88698e-06;1,80658;-4,00041e-06;0,7398971512599336
2,0;4e-06;1,99851;3,86638e-06;1,80662;-4,00044e-06;0,9353275217281997
2,0;4e-06;1,99874;4,88194e-06;1,80716;-4,00044e-06;0,7408932274583877
2,0;4e-06;1,99867;4,47512e-06;1,80687;-4,00043e-06;0,8081422334616173
2,0;4e-06;1,99858;4,1594e-06;1,80661;-4,00043e-06;0,8693984483443021
2,0;4e-06;1,99867;4,49032e-06;1,80692;-4,00043e-06;0,8054289113270677
2,0;4e-06;1,99847;4,07181e-06;1,80716;-4,00043e-06;0,888419623820851
2,0;4e-06;1,99887;4,88099e-06;1,80734;-4,00041e-06;0,7410574827856725
2,0;5e-06;1,99886;5,28587e-06;1,80665;-5,00034e-06;0,8550169130535966
2,0;5e-06;1,99871;5,14274e-06;1,80675;-5,00033e-06;0,8789261309881924
2,0;5e-06;1,99871;5,13561e-06;1,80675;-5,00035e-06;0,8801499043033401
2,0;5e-06;1,99876;5,20939e-06;1,80696;-5,00034e-06;0,8677618491488617
2,0;5e-06;1,99856;5,33242e-06;1,80655;-5,00035e-06;0,8476349400488055
2,0;5e-06;1,9986;5,16752e-06;1,80645;-5,00035e-06;0,8746177764472132
2,0;5e-06;1,99881;5,06789e-06;1,80671;-5,00037e-06;0,8918501627837768
2,0;5e-06;1,99867;5,18728e-06;1,80679;-5,00035e-06;0,8714195466368906
2,0;5e-06;1,99858;5,18277e-06;1,80672;-5,00037e-06;0,8721868204103066
2,0;5e-06;1,99855;5,31349e-06;1,80693;-5,00038e-06;0,8508430433767353
2,0;6e-06;1,99869;6,51901e-06;1,80711;-6,00038e-06;0,8322163755697259
2,0;6e-06;1,99878;6,56146e-06;1,8068;-6,00036e-06;0,826650453507245
2,0;6e-06;1,99886;6,58268e-06;1,80721;-6,00036e-06;0,8241396475170755
2,0;6e-06;1,99878;6,39518e-06;1,80684;-6,00035e-06;0,8481614161609989
2,0;6e-06;1,99888;5,88427e-06;1,80667;-6,00037e-06;0,9216744519699802
2,0;6e-06;1,99881;6,50407e-06;1,80693;-6,00037e-06;0,8339934489256658
2,0;6e-06;1,9988;6,54768e-06;1,80675;-6,00037e-06;0,8283603584599628
2,0;6e-06;1,99884;6,48378e-06;1,80706;-6,00036e-06;0,8366495421975841
2,0;6e-06;1,99884;6,51724e-06;1,80662;-6,00035e-06;0,8321500643028866
2,0;6e-06;1,99893;6,04738e-06;1,80674;-6,00036e-06;0,8968258580104292
2,0;7e-06;1,99901;7,95048e-06;1,80676;-7,0002e-06;0,7957975527768215
2,0;7e-06;1,99894;7,96057e-06;1,80664;-7,00021e-06;0,7947650598051185
2,0;7e-06;1,99884;7,85745e-06;1,80695;-7,00018e-06;0,8053704391520311
2,0;7e-06;1,99876;6,62366e-06;1,80711;-7,00019e-06;0,9555110986145027
2,0;7e-06;1,99897;6,66616e-06;1,80672;-7,00017e-06;0,9491119236786535
2,0;7e-06;1,999;7,96883e-06;1,80704;-7,00018e-06;0,7940897994948385
2,0;7e-06;1,99899;8,05163e-06;1,80677;-7,00016e-06;0,7858079288442875
2,0;7e-06;1,99889;8,11633e-06;1,8068;-7,00016e-06;0,7795957387435752
2,0;7e-06;1,99874;6,67535e-06;1,80672;-7,00015e-06;0,9479116328594901
2,0;7e-06;1,99893;6,77636e-06;1,80693;-7,00016e-06;0,9338029442550045
2,0;8e-06;1,99893;8,56915e-06;1,807;-7,99991e-06;0,8439329094968469
2,0;8e-06;1,99894;8,25884e-06;1,80701;-7,99989e-06;0,8756403386408771
2,0;8e-06;1,99879;9,4312e-06;1,80616;-7,99989e-06;0,7664893284272764
2,0;8e-06;1,99898;8,08402e-06;1,80708;-7,9999e-06;0,8945942642573017
2,0;8e-06;1,9989;8,08862e-06;1,80682;-7,99988e-06;0,8939904115408349
2,0;8e-06;1,99899;8,28472e-06;1,80683;-7,9999e-06;0,8727973007576638
2,0;8e-06;1,9991;8,0949e-06;1,80727;-7,99988e-06;0,8934299454631296
2,0;8e-06;1,99891;9,24812e-06;1,80626;-7,99988e-06;0,7816584732130221
2,0;8e-06;1,99908;8,23224e-06;1,80716;-7,99989e-06;0,878481101758691
2,0;8e-06;1,99889;8,2059e-06;1,80697;-7,99989e-06;0,881292029206506
2,0;9e-06;1,99904;9,25307e-06;1,8069;-8,9998e-06;0,8791432466760469
2,0;9e-06;1,99925;9,66036e-06;1,80722;-8,99978e-06;0,8421365206922556
2,0;9e-06;1,99915;9,49983e-06;1,80716;-8,99983e-06;0,8563862710275201
2,0;9e-06;1,99899;9,42679e-06;1,80719;-8,99984e-06;0,86310602718734
2,0;9e-06;1,99912;9,61775e-06;1,80693;-8,99982e-06;0,84579050204096
2,0;9e-06;1,99906;9,16647e-06;1,80699;-8,99982e-06;0,8874862270166617
2,0;9e-06;1,99915;9,34762e-06;1,8068;-8,99982e-06;0,8701567129466706
2,0;9e-06;1,99916;9,0949e-06;1,80705;-8,99981e-06;0,8944540366202396
2,0;9e-06;1,99914;9,55793e-06;1,80668;-8,99981e-06;0,8509568202801382
2,0;9e-06;1,99914;9,68062e-06;1,80676;-8,99979e-06;0,8402073207244015
2,0;1e-05;1,99866;1,00871e-05;1,80665;-9,99938e-06;0,8960698216783642
2,0;1e-05;1,99874;1,07958e-05;1,80671;-9,99939e-06;0,8372416430693471
2,0;1e-05;1,9987;1,08754e-05;1,80676;-9,99939e-06;0,8311532788715703
2,0;1e-05;1,99872;1,07533e-05;1,80681;-9,99937e-06;0,8406039062502164
2,0;1e-05;1,99871;1,02248e-05;1,80671;-9,99938e-06;0,8840094631458226
2,0;1e-05;1,99875;1,05894e-05;1,80696;-9,99938e-06;0,8536734634170436
2,0;1e-05;1,99876;1,06425e-05;1,8069;-9,9994e-06;0,8493833646910415
2,0;1e-05;1,99878;1,01435e-05;1,80733;-9,9994e-06;0,8913711432096022
2,0;1e-05;1,99862;1,03615e-05;1,807;-9,99942e-06;0,8725294660718298
2,0;1e-05;1,99875;1,07411e-05;1,80659;-9,9994e-06;0,8414461096633785
2,0;2e-05;1,999;2,00588e-05;1,80692;-2,00053e-05;0,9015010794726734
2,0;2e-05;1,99896;2,00357e-05;1,8067;-2,00057e-05;0,9024666720793847
2,0;2e-05;1,99896;1,99007e-05;1,80684;-2,00055e-05;0,9086500400168188
2,0;2e-05;1,99897;2,03791e-05;1,80705;-2,00049e-05;0,8873915264382659
2,0;2e-05;1,99895;2,00016e-05;1,80705;-2,0005e-05;0,904153267428443
2,0;2e-05;1,99899;1,99887e-05;1,80653;-2,00049e-05;0,9044538074356734
2,0;2e-05;1,99899;2,06019e-05;1,80695;-2,00048e-05;0,877733052734576
2,0;2e-05;1,99897;1,98329e-05;1,80723;-2,00051e-05;0,9119303198858085
2,0;2e-05;1,99896;1,98966e-05;1,80696;-2,00049e-05;0,9088703816645369
2,0;2e-05;1,99899;1,99765e-05;1,80686;-2,00046e-05;0,9051579171026534
2,0;3e-05;1,99926;2,9293e-05;1,80678;-3,00054e-05;0,9257027771903639
2,0;3e-05;1,99925;3,02125e-05;1,80699;-3,00057e-05;0,8976473309141736
2,0;3e-05;1,99922;3,04152e-05;1,8069;-3,00061e-05;0,891645877199454
2,0;3e-05;1,99921;2,93249e-05;1,8071;-3,0006e-05;0,9249011843424048
2,0;3e-05;1,99924;3,04739e-05;1,80704;-3,00062e-05;0,8899913695667072
2,0;3e-05;1,99922;3,0481e-05;1,80723;-3,0005e-05;0,8898509319917535
2,0;3e-05;1,99919;2,96408e-05;1,80732;-3,0005e-05;0,9151340061044068
2,0;3e-05;1,99923;2,93208e-05;1,80689;-3,00053e-05;0,9248921895507927
2,0;3e-05;1,99925;3,04484e-05;1,80701;-3,00057e-05;0,8907026364212258
2,0;3e-05;1,99923;3,03973e-05;1,80681;-3,00064e-05;0,8921309578600949
2,0;4e-05;1,99941;3,95999e-05;1,80714;-4,00081e-05;0,9131534763717318
2,0;4e-05;1,99943;3,96616e-05;1,80721;-4,00068e-05;0,9117294889599842
2,0;4e-05;1,99941;3,92325e-05;1,80714;-4,00059e-05;0,9216541874309049
2,0;4e-05;1,99942;3,93201e-05;1,80718;-4,00061e-05;0,9196212161839089
2,0;4e-05;1,99939;3,94748e-05;1,80714;-4,00064e-05;0,916017599316944
2,0;4e-05;1,99942;3,96295e-05;1,80697;-4,00064e-05;0,9123422563383284
2,0;4e-05;1,99939;3,94738e-05;1,80703;-4,00068e-05;0,9159942043194941
2,0;4e-05;1,9994;3,94601e-05;1,80704;-4,00071e-05;0,9163195838511107
2,0;4e-05;1,99941;3,98815e-05;1,80684;-4,00078e-05;0,906548456229476
2,0;4e-05;1,9994;3,92619e-05;1,80701;-4,00066e-05;0,9209185046080506
2,0;5e-05;1,99958;4,97322e-05;1,80691;-5,00087e-05;0,9086688298425506
2,0;5e-05;1,99959;4,97302e-05;1,80696;-5,00078e-05;0,9087096202667059
2,0;5e-05;1,99959;4,95817e-05;1,80681;-5,0009e-05;0,9113774661224399
2,0;5e-05;1,9996;4,96859e-05;1,80704;-5,00082e-05;0,9095628207091085
2,0;5e-05;1,9996;4,902e-05;1,80681;-5,00079e-05;0,92179567899504
2,0;5e-05;1,9996;4,97432e-05;1,80672;-5,00082e-05;0,9083541959682565
2,0;5e-05;1,99958;4,90705e-05;1,80725;-5,00083e-05;0,9210878576387206
2,0;5e-05;1,99958;4,9565e-05;1,80674;-5,00086e-05;0,9116464842364199
2,0;5e-05;1,99958;4,89789e-05;1,80696;-5,00087e-05;0,9226697712606146
2,0;5e-05;1,99956;4,95191e-05;1,80686;-5,00088e-05;0,9125648860784433
2,0;6e-05;1,99969;5,94156e-05;1,80721;-6,0006e-05;0,9127254003953753
2,0;6e-05;1,99968;5,97311e-05;1,80695;-6,00062e-05;0,9077813264672892
2,0;6e-05;1,99967;5,90894e-05;1,80735;-6,00064e-05;0,9178504492063722
2,0;6e-05;1,9997;5,87715e-05;1,80693;-6,00064e-05;0,9225868907262406
2,0;6e-05;1,99969;5,96526e-05;1,80647;-6,00072e-05;0,9087450620405753
2,0;6e-05;1,99972;5,92367e-05;1,80747;-6,0007e-05;0,9156151417571452
2,0;6e-05;1,99969;5,90268e-05;1,80726;-6,00068e-05;0,9187750428340729
2,0;6e-05;1,99968;5,94808e-05;1,8073;-6,00072e-05;0,9117931122210848
2,0;6e-05;1,99969;5,92188e-05;1,80697;-6,00063e-05;0,9156415960972765
2,0;6e-05;1,99969;5,98022e-05;1,80708;-6,00068e-05;0,906771811892098
2,0;7e-05;1,99971;6,942e-05;1,80715;-7,00063e-05;0,9113384610244142
2,0;7e-05;1,99976;6,9663e-05;1,80723;-7,00061e-05;0,9081744109495542
2,0;7e-05;1,99976;6,90849e-05;1,807;-7,00068e-05;0,9156665906468965
2,0;7e-05;1,99975;6,82689e-05;1,80681;-7,00068e-05;0,9265185128801401
2,0;7e-05;1,9997;6,87614e-05;1,80723;-7,00072e-05;0,9201244649608318
2,0;7e-05;1,99972;6,90323e-05;1,80677;-7,00074e-05;0,916273836995952
2,0;7e-05;1,99968;6,95021e-05;1,80689;-7,00071e-05;0,9101550268151649
2,0;7e-05;1,9997;6,88695e-05;1,8068;-7,00069e-05;0,9184576847258618
