V_out_nom;V_inp_nom;I_inp_nom;V_inp;I_inp;V_out;I_out;eta
2,0;1,0;0,05;1,01647;0,0500002;2,00078;-0,0197461;0,7773459901074165
2,0;1,0;0,05;1,01634;0,0500002;2,00078;-0,0197378;0,7771186319666629
2,0;1,0;0,05;1,01623;0,0499999;2,00078;-0,0197451;0,7774948621741216
2,0;1,0;0,05;1,01612;0,0499998;2,00078;-0,0197376;0,7772852279457774
2,0;1,0;0,05;1,016;0,0499998;2,00076;-0,0197304;0,7770856891301581
2,0;1,0;0,05;1,01585;0,0499999;2,00076;-0,0197331;0,7773052344057142
2,0;1,0;0,05;1,0158;0,0499999;2,00076;-0,0197299;0,7772174379552541
2,0;1,0;0,04;1,03056;0,0399984;2,00079;-0,0169193;0,8212360362282446
2,0;1,0;0,04;1,0305;0,0399984;2,00078;-0,0169187;0,8212506226110275
2,0;1,0;0,04;1,03043;0,0399984;2,00077;-0,0169163;0,8211858018054892
2,0;1,0;0,04;1,03031;0,0399986;2,00078;-0,0169132;0,8211309393091717
2,0;1,0;0,04;1,03023;0,0399988;2,00077;-0,0169136;0,821205912979657
2,0;1,0;0,04;1,03008;0,0399985;2,00077;-0,0169122;0,8212636723585894
2,0;1,0;0,04;1,03008;0,0399987;2,00078;-0,0169107;0,8211908299822632
2,0;1,0;0,03;1,02537;0,0299988;2,00078;-0,0128435;0,8354072465495083
2,0;1,0;0,03;1,02533;0,0299989;2,00076;-0,0128393;0,8351555046990723
2,0;1,0;0,03;1,02525;0,0299988;2,00076;-0,0128421;0,8354056017397976
2,0;1,0;0,03;1,02517;0,029999;2,00077;-0,0128377;0,8351831479562022
2,0;1,0;0,03;1,02513;0,0299988;2,00076;-0,0128396;0,8353407436269161
2,0;1,0;0,03;1,02515;0,0299989;2,00074;-0,0128352;0,835027058765001
2,0;1,0;0,03;1,02496;0,0299986;2,00075;-0,0128351;0,8351878698623274
2,0;1,0;0,02;1,01575;0,0199965;2,00076;-0,00852198;0,8394497195906652
2,0;1,0;0,02;1,01569;0,0199967;2,00076;-0,00852238;0,8395303157067111
2,0;1,0;0,02;1,01566;0,0199965;2,00075;-0,0085223;0,8395514330991618
2,0;1,0;0,02;1,01563;0,0199967;2,00075;-0,0085219;0,839528429194352
2,0;1,0;0,02;1,01555;0,0199968;2,00076;-0,00852149;0,8395541668036588
2,0;1,0;0,02;1,01552;0,0199967;2,00077;-0,00852071;0,8395105132229836
2,0;1,0;0,02;1,01549;0,0199966;2,00076;-0,00851974;0,8394397437425414
2,0;1,0;0,01;1,01456;0,00999922;2,00075;-0,00447002;0,8815733080381659
2,0;1,0;0,01;1,01456;0,00999922;2,00074;-0,00446963;0,8814919867605532
2,0;1,0;0,01;1,01453;0,0099993;2,00075;-0,00446922;0,8814345444936966
2,0;1,0;0,01;1,01447;0,00999924;2,00074;-0,00446928;0,8814993938474729
2,0;1,0;0,01;1,01445;0,00999923;2,00075;-0,00446927;0,8815200878506483
2,0;1,0;0,01;1,01442;0,0099993;2,00074;-0,0044687;0,8814231512875524
2,0;1,0;0,01;1,01433;0,00999924;2,00073;-0,00446882;0,8815259135406338
2,0;1,0;0,01;1,01432;0,00999925;2,00075;-0,00446831;0,8814419296310383
2,0;1,0;0,008;1,01235;0,00799937;2,00075;-0,00356705;0,881283320098846
2,0;1,0;0,008;1,01232;0,00799934;2,00074;-0,00356704;0,8813058664189802
2,0;1,0;0,008;1,01225;0,00799936;2,00073;-0,00356699;0,8813478482452464
2,0;1,0;0,008;1,01224;0,00799944;2,00074;-0,00356653;0,8812384866871527
2,0;1,0;0,008;1,01217;0,00799943;2,00075;-0,00356622;0,8812283359198946
2,0;1,0;0,008;1,0121;0,00799948;2,00073;-0,00356644;0,881329332301274
2,0;1,0;0,008;1,01209;0,00799954;2,00075;-0,00356635;0,881317999157873
2,0;1,0;0,008;1,01205;0,00799955;2,00075;-0,00356596;0,8812553497251262
2,0;1,0;0,006;1,01491;0,00599948;2,00076;-0,00268108;0,8809750878110232
2,0;1,0;0,006;1,01482;0,00599945;2,00077;-0,00268132;0,8811408962627839
2,0;1,0;0,006;1,01481;0,00599942;2,00075;-0,00268106;0,8810597349541925
2,0;1,0;0,006;1,01479;0,00599941;2,00074;-0,00268046;0,8808769867727755
2,0;1,0;0,006;1,01478;0,00599952;2,00073;-0,00268074;0,8809571285539654
2,0;1,0;0,006;1,01469;0,00599956;2,00072;-0,00268069;0,8810085568091244
2,0;1,0;0,006;1,01463;0,00599949;2,00074;-0,00268018;0,880912117574805
2,0;1,0;0,006;1,01459;0,00599948;2,00073;-0,00268013;0,8809274781946816
2,0;1,0;0,005;1,013;0,0049994;2,00076;-0,00222967;0,8808627714891435
2,0;1,0;0,005;1,01302;0,00499944;2,00075;-0,00222949;0,8807628213653922
2,0;1,0;0,005;1,01296;0,00499948;2,00075;-0,00222952;0,880819795907961
2,0;1,0;0,005;1,01297;0,0049995;2,00076;-0,00222948;0,88079617656031
2,0;1,0;0,005;1,01292;0,00499953;2,00074;-0,00222944;0,880809760853136
2,0;1,0;0,005;1,01289;0,00499957;2,00074;-0,00222919;0,8807300291512142
2,0;1,0;0,005;1,0128;0,00499962;2,00075;-0,00222938;0,8808789600316103
2,0;1,0;0,005;1,01277;0,00499962;2,00072;-0,00222917;0,8808088675578428
2,0;1,0;0,004;1,01099;0,00399929;2,00075;-0,00177947;0,8805494276483345
2,0;1,0;0,004;1,01097;0,00399934;2,00074;-0,0017793;0,880467314852878
2,0;1,0;0,004;1,01091;0,0039994;2,00075;-0,00177923;0,8804761234360045
2,0;1,0;0,004;1,01088;0,00399937;2,00074;-0,00177933;0,8805539452888804
2,0;1,0;0,004;1,01082;0,00399938;2,00074;-0,00177924;0,8805594694446589
2,0;1,0;0,004;1,01082;0,00399937;2,00074;-0,00177909;0,8804874348584836
2,0;1,0;0,004;1,01075;0,00399936;2,00073;-0,00177925;0,8806254047642427
2,0;1,0;0,004;1,01078;0,00399938;2,00073;-0,00177873;0,8803375032093349
2,0;1,0;0,003;1,00892;0,00299933;2,00075;-0,00133118;0,8801336526774689
2,0;1,0;0,003;1,00887;0,00299935;2,00073;-0,00133109;0,8801030978381773
2,0;1,0;0,003;1,00887;0,00299932;2,00074;-0,00133098;0,880043567852126
2,0;1,0;0,003;1,00876;0,00299935;2,00074;-0,0013309;0,8800778274815987
2,0;1,0;0,003;1,00872;0,00299933;2,00073;-0,00133104;0,8802067769915198
2,0;1,0;0,003;1,00878;0,00299932;2,00073;-0,00133091;0,8800713955560967
2,0;1,0;0,003;1,00868;0,00299938;2,00073;-0,00133092;0,8801476516326996
2,0;1,0;0,002;1,0083;0,00199917;2,00073;-0,000886129;0,8795204478617923
2,0;1,0;0,002;1,00849;0,00199922;2,00073;-0,000886026;0,8792305433094455
2,0;1,0;0,002;1,00837;0,0019992;2,00076;-0,000886294;0,8796231402703194
2,0;1,0;0,002;1,00844;0,00199924;2,00075;-0,000885994;0,8792423741207293
2,0;1,0;0,002;1,00816;0,00199929;2,00075;-0,000885942;0,8794129575993924
2,0;1,0;0,002;1,00817;0,00199921;2,00075;-0,00088603;0,8795267789088286
2,0;1,0;0,002;1,00818;0,00199927;2,00075;-0,000885674;0,8791382868812065
2,0;1,0;0,001;1,01152;0,000999961;2,00075;-0,000444117;0,8784816347852594
2,0;1,0;0,001;1,01146;0,000999962;2,00074;-0,000444159;0,8786115590502892
2,0;1,0;0,001;1,0115;0,000999962;2,00073;-0,00044413;0,8785150592025016
2,0;1,0;0,001;1,01142;0,000999963;2,00075;-0,000444095;0,878523212730685
2,0;1,0;0,001;1,01143;0,000999961;2,00075;-0,000444066;0,8784589155832224
2,0;1,0;0,001;1,01141;0,000999959;2,00074;-0,000444077;0,8784954135918143
2,0;1,0;0,001;1,01138;0,000999961;2,00074;-0,000444034;0,8784346476874421
2,0;1,0;0,001;1,01134;0,000999962;2,00074;-0,000443998;0,8783972908576869
2,0;1,0;0,0008;1,01121;0,000799992;2,00076;-0,000355008;0,8780234929058878
2,0;1,0;0,0008;1,01118;0,000799994;2,00076;-0,000355033;0,8781091801640716
2,0;1,0;0,0008;1,01116;0,000799993;2,00076;-0,000355023;0,8781029124938029
2,0;1,0;0,0008;1,01111;0,000799994;2,00075;-0,00035501;0,8781086932763067
2,0;1,0;0,0008;1,01112;0,000799993;2,00075;-0,000355018;0,878120894032346
2,0;1,0;0,0008;1,01111;0,000799993;2,00073;-0,000354963;0,8779847607631713
